   حي الخضراء،زاوية قنطش،جمال،زرمدين،منزل حياة،الهدادرة،منزل كامل،جمال،بني حسان،زرمدين،منزل كامل.وبئرالطيب،جمال،بئر هنادة،التيايرة.وبني حسان،الجنايحة،عميرة حاتم،زرمدين،الغنادة،منزل حياة.
"- حي الخضراء-زاوية قنطش-جمال-زرمدين-منزل حياة-الهدادرة-منزل كامل-جمال-بني حسان-زرمدين و منزل كامل و
-بئر الطيب-جمال-بئر هنادة والتيايرة و
-بني حسان-الجنايحة-عميرة حاتم-زرمدين-العنادة-منزل الحياة."
"
LIGNE:TOUZA-BODHEUR-BENNANE-KSIBET EL MEDIOUNI-MONASTIR."
***حمام سوسة-القنطاوى-شط مريم -هرقلة ***
CITE EL KHADHRA-ZAOUIET KONTECH-JEMMEL-ZERAMDINE-MENZEL HAYET-HEDADRA-MENZEL KAMEL-JEMMEL-BENI HASSEN-ZERAMDINE ET MENZEL KAMEL-BIR ETTAIEB-JEMMEL-BIR HENADA-TIAYRA-BENI HASSEN-JENAYHA-AMIRET HATEM-ZERAMDINE-GHENADA-MENZEL HAYET***
"LES  LIGNES :
-CITE EL KHADHRA-ZAOUIET KONTECH-JEMMEL-ZERAMDINE-MENZEL HAYET-HEDADRA-MENZEL KAMEL-JEMMEL-BENI HASSEN-ZERAMDINE-MENZEL KAMEL ET
-BIR TAIEB-JEMMEL-BIR HENADA-TIAYRA ET
-BENI HASSEN-JENAYHA-AMIRET HATEM-ZERAMDINE-GHENADA-MENZEL HAYET."
"LES LIGNES  :
--CITE EL KHADHRA-ZAOUIET KONTECH-JEMMEL-ZERAMDINE-MENZEL HAYET-HEDADRA-MENZEL KAMEL-JEMMEL-BENI HASSEN-ZERAMDINE-MENZEL KAMEL ET
--BIR TAIEB-JEMMEL-BIR HENADA-TIAYRA ET
--BENI HASSEN-JENAYHA-AMIRET HATEM-ZERAMDINE-GHENADA-MENZEL HAYET."
"LES LIGNES : 
- CITE EL KHADHRA -ZAOUIET KONTECH-JEMMEL-ZERAMDINE-MENZEL HAYET-HEDADRA-MENZEL KAMEL-JEMMEL-BENI HASSEN-ZERAMDINE-MENZEL KAMEL ET
-BIR TAIEB-JEMMEL-BIR HANADA-TIAYRA ET
-BENI HASSEN-JENAYHA-AMIRET HATEM-ZERAMDINE-GHENADA-MENZEL HAYET.
"
"LES LIGNES : 
-CITE EL KHADHRA-ZAOUIET KONTECH-JEMMEL-ZARMADINE-MENZEL HAYET-HEDADRA-MENZEL KAMEL-JEMMEL-BENI HASSEN-ZERAMDINE-MENZEL KAMEL ET 
-BIR TAIEB-JEMMEL-BIR HENADA-TIAYRA ET
-BENI HASSEN-JENAYHA-AMIRET HATEM-ZERAMDINE-GHENADA-MENZEL HAYET."
"LES LIGNES : 
-CITE EL KHADHRA-ZAOUIET KONTECH-JEMMEL-ZERAMDINE-MENZEL HAYET-HEDADRA-MENZEL KAMEL-JEMMEL-BENI HASSEN-ZARAMDINE-MENZEL KAMEL ET
-BIR TAIEB-JEMMEL-BIR HENADA-TIAYRA ET
-BENI HASSEN-JENAYHA-AMIRET HATEM-ZERAMDINE-GHENADA-MENZEL HAYET.
"
"LES LIGNES : 
-CITE EL KHADHRA-ZAOUIET KONTECH-JEMMEL-ZERAMDINE-MENZEL HAYET-HEDADRA-MENZEL KAMEL-JEMMEL-BENI HASSEN-ZERAMDINE-MENZEL KAMEL ET
-BIR TAIEB-JEMEL-BIR HENADA-TIAYRA ET
-BENI HASSEN-JENAYHA-AMIRET HATEM-ZERAMDINE-GHENADA-MENZEL HAYET."
