" بئر مشارقة - بئر مشارقة محطة
و بئر مشارقة - المنطقة الصناعية جبل الوسط"
"1)- سوق الدواب-حي النسمة(عبر مفترق حي 20 مارس و شارع إبن بطوطة)
2)- سوق الدواب-المنطقة الصناعية طريق تونس(عبر شارع الحبيب بورقيبة و شارع الحرية)
3)- سوق الدواب- حي بوقطف(2) (عبر شارع الحبيب بورقيبة-شارع الحرية-طريق زغوان-شارع صلاح الدين الأيوبي)"
"1)-سوق الدواب-حي النسمة(عبر مفترق حي 20 مارس و شارع إبن بطوطة)
2)-سوق الدواب-المنطقة الصناعية طريق تونس(عبر شارع الحبيب بورقيبة و شارع الحرية)
3)-سوق الدواب-حي بوقطف(2) (عبر شارع الحبيب بورقيبة-شارع الحرية-طريق زغوان-شارع صلاح الدين الأيوبي)."
"1)-سوق الدواب-حي النسمة(عبر مفترق حي 20 مارس و شارع إبن بطوطة)
2)-سوق الدواب-المنطقة الصناعية طريق تونس(عبر شارع الحبيب بورقيبة و شارع الحرية)
3)-سوق الدواب-حي بوقطف(2)(عبر شارع الحبيب بورقيبة-شارع الحرية-طريق زغوان-شارع صلاح الدين الأيوبي)."
HOPITAL REG.ZAGH.-AIN MEZIGH-RAS ESSAADA-USINE DE BRIQUES-ZRIBA MEZENETA-ZRIBA HAMMAM-ZRIBA VILLAGE...
HOPITAL REG.ZAGH.-ZAGHOUAN-AIN MEZIGH-RAS ESSAADA-USINE DE BRIQUES-ZRIBA MEZENETA-ZRIBA HAMMAM-ZRIBA VILLAGE...
HOPITAL REG.-ZAGHOUAN-AIN MEZIGH-RAS ESSAADA-USINE DE BRIQUES-ZRIBA MEZANETA-ZRIBA HAMMAM-ZRIBA VILLAGE...
HOPITAL REG.-ZAGHOUAN-AIN MEZIGH-RAS ESSAADA-USINE DE BRIQUES-ZRIBA MEZENATA-ZRIBA HAMAM-ZRIBA VILLAGE...
HOPITAL REGIONAL- ZAGHOUAN-  ZRIBA HAMMAM- ZRIBA VILLAGE.    
HOPITAL REGIONAL -ZAGHOUAN- AIN MEZIGH-RAS ESSAADA-USINE DE BRIQUE-ZRIBA MAZANETA-ZRIBA HAMMAM-ZRIBA VILLAGE.
HOPITAL REGIONAL -ZAGHOUAN-AIN MAZIGH-RAS ESSAADA-USINE DE BRIQUES-ZRIBA MAZENETA-ZRIBA HAMMAM-ZRIBA VILLAGE...
HOPITAL REGIONAL -ZAGHOUAN-AIN MEZIGH-RAS ESSAADA-USINE DE BRIQUES-ZRIBA MAZANTA-ZRIBA HAMMAM-ZRIBA VILLAGE.
LIGNE : ZRIBA HAMMAM - ZAGHOUAN - HOPITAL ZAGHOUAN...
LIGNE DE ZAGHOUAN-ZRIBA HAMMAM -AIN AMZIGH-RAS ESSAADA-USINE DE BRIQUES-ZRIBA MAZANETA***
LIGNE: ZRIBA HAMMAM - ZAGHOUAN...
LIGNE:ZRIBA HAMMAM-ZAGHOUAN...
"LIGNE:ZRIBAHAMMAM-ZAGHOUAN...
"
MOGRANE- ECOLE SUP.DE L'AGRICULTURE - ISET - ZAGHOUAN...
NADHOUR- NAFFET - ZOUAGHA - HENCHIR JEDID - BIR CHOUECH...
ZAGHOUAN  -  ZRHBA HAMMAM
ZAGHOUAN-ZERIBA HAMMEM
ZAGHOUAN-ZRIBA HAMMAM....
ZRIBA-DELEGATION ZAGHOUAN-  ZAGHOUAN BIR MCHERGA-ZAGHOUAN -JEBEL OUEST.
"الزريبة حمام- الزريبة قرية- المنطقة الصناعية بالزريبة
"
الزريبة حمام-الزريبة قرية-المنطقة الصناعية بالزريبة.
الزريبة حمام-المنطقة الصناعية بالزريبة- رأس الصعدة- زغوان
المستشفى الجهوي-عين مزيغ-رأس الصعدة-مصنع الآجر-الزريبة مازنتا-الزريبة حمام-الزريبة قرية.
أولاد الزوابي-بئر الشاوش-عين البطوم-سوغاس-سيدي ناجي-الناظور-الفحص.
خط:المحمدية(طو3)-فوشانة(طو3)-المغيرة(المنطقة الصناعيةطو3)-اليهودية(طو3)-المروج1-مستشفى الحروق البليغة-لاكانيا-باب عليوة-شارع المحطة-ساحةالمنجي بالي-باب الجزيرة***
خط:المروج(6ة5ة4ة3ة1)-مركز الاصابات و الحروق البليغة ببعروس-لاكانيا-باب عليوة-شارع المحطة- ساحة المنجي بالي -باب الجزيرة***
زغوان - الزريبة.
