"
المحطة المحاذية لسوق الجملة للخضر والغلال بسيدي بوزيد - سيدي سالم - الصداقية - ام العظام عدد 2 ."
"
فرش الشيح - بئر العميقة - العوافي - الضيعة - المحطة قرب نزل الحرشاني بسيدي بوزيد ."
BEN AOUN - BIR LEHFFEY .
"BEN AOUN - BIR LEHFFEY .
"
LESSOUDA - STATION TRANSPORT TERRESTRE - STATION TAXIS RUE HABIB BOURGUIBA SIDI BOUZID.
STATON TAXIS RUE HABIB BOURGUIBA SIDI BOUZID -          SIDI SALEM -  SADDAGUIA - OM LADHAM -  CROISEMENT 3-13 .
الصداقية - المحطة المحاذية لسوق الجملة للخضر والغلال بسيدي بوزيد
"لسودة - الروابحية - فايض - الذراع - محمطة النقل الريفي قرب معمل الخياطة مهدي تاكس بسيدي بوزيد.

"
"مدرسة المكارم- سوق المكارم لسودة - فايض -الذراع - محطة النقل الريفي قرب معمل الخياطة مهدي تاكس بسيدي بوزي
د
"



















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































