" خط-سوق الجملة-بئر القصعة-المكفوفين-حي الاسكان-بن عروس(شارع الحبيب بورقيبة)-عتح الله-جبل الجلود-ديبوزفيل-باب عليوة-منصف باي-شارع قرطاج....
2خط-بن عروس-الياسمينات-مستشفى الياسمينات-برج غربال-بوجردقة-بومهل........"
"      -خط-1-المروج(6-5-4-3-1)-مستشفى الحروق البليغة-لاكانيا-باب عليوة-شارع المنصف باي-نهج علي درغوث -شارع قرطاج****
خط-2-المروج-ميامي-مفترق بئرالقصعة-المكفوفين -بن عروس شارع الجمهورية -بنعروس شارع الحبيب بورقيبة- بنعروس نهج بنزرت"
"
الخط1/برج السدرية-بئر الباي(ط و1)-حمام الشط(ط و1)-الطاهر صفر(ط و1)-حمام الانف(ط و1)-بوقرنين(ط و1)-الزهراء(ط و1)-برج الوزير(ط و1)-شوشة رادس-الحي الاداري(ط و1)-جبل الجلود-باب عليوة-منصف باي-علي درغوث-شارع قرطاج/
الخط2/حمام الانف-بوقرنين-بومهل-مستشفى الياسمينات-بن عروس(شارع الحبيب بورقيبة)/
الخط3/حمام الانف-الزهراء-رادس-رادس الملاحة-قنطرة رادس-حلق الوادي-الكرم***"
"
الخط1/برج السدرية-بئر الباي-حمام الشط(ط و1)-حمام الانف(ط و1)-بوقرنين(ط و1)-الزهراء(ط و1)-برج الوزير(ط و1)-شوشة رادس(ط و1)-الحي الاداري(ط و1)-جبل الجلود(ط و1)-ديبوزفيل-باب عليوة-شارع المنصف باي-نهج علي درغوث-شارع قرطاج       الخط2/حمام الانف(ط و1)-بوقرنين(ط و1)-بومهل الباساتين(ط ج39)-زاوية مرناق-(عبرشارع عبد الرحمام البحري)-مرناق(ط ج34)***-"
"
المروج(1,3,4,5,6) - مستشفى الحروق البليغة - لاكانيا - باب عليوة - منصف باي - نهج علي درغوث - شارع قرطاج***"
"
خط:المحمدية(طو3)-فوشانة(طو3)-المغيرة(طو3)-اليهودية(طو3)-سوق السيارات-ابن سينا -لاكانيا-الطريق السريعة-باب عليوة-شارع المحطة-ساحة المنجي بالي-باب الجزيرة***"
"
خط-6-5-3-1 مستشفى الحروق البليغة-الطريق السريعة-باب عليوة-المنصف باي-نهج علي درغوث-شارع قرطاج*****"
"
مرناق -سيدي سعد--اوزرة-حي السلام-كشاشمة-القنة-عين الرقاد-الزواوين..








"
"*** مرناق-المدرسة الاعدادية محمود المسعدي-الرسالة-السجن المدني بمرناق ***








"
"*** مرناق-سيدي سعد-اوزرة-حي السلام-بئرالجديد-الخليدية-فرش العنابي***
"
*** مرناق-سيدي سعد-اوزرة-صنداج-سيدي مسعود ***
"***
الخط الاول /مرناق-الزاوية-بوجردقة-الياسمينات-بنعروس(ش.ح.بورقيبة)-جبل الجلود-ديبوزفيل-باب عليوة-المنصف باي-نهج علي درغوث-شارع قرطاج*** الخط الثاني/ مرناق-الزاوية-مون بلون-مفترق البحري-بومهل البساتين-دورة الحلايبية- بوقرنين(ط و1) -حمام الانف(محطة الارتال)***"
"***المروج1""ميامي""-شارع الشهداء-مفترق الستاق-نعسان-بوجردقة-بومهل البساتين-حمام الانف***









"
"***المروج-5-4-3-1-مستشفى الحروق البليغة-لاكانيا-باب عليوة-شارع المنصف باي-شارع قرطاج***

"
***خط . مرناق-الرسالة-السجن المدني بمرناق ***
***فوشانة-شبدة-نعسان-بوجردقة-المستشفى الجهويبالياسمينات***
"***مرناق-احمد زايد-بن نويحي-الفندارية-الليبرية ***










"
"***مرناق-الرسالة-دوار سالم-طرهونة-الحوامد***








"
"***مرناق-العلالق-احمد زايد-بن نويجي-مفترق جبل الرصاص-الكبوطي-بن عيسى 9 القليم-جبل الطريف ***
"
***مرناق-سيدي سعد-اوزرة-صنداج-القنة***
"**الخليدية --المحمدية--فوشانة--المغيرة(قارتاكس)**







"
"**المحمدية--حي العياري--حي الطيب المهيري--حي فرحات حشاد***







"
"**المغازة العامة(برج السدرية)مرناق عبر الوصلة**







"
"**مرناق--بوجردقة--المستشفى الجهوي بالياسمينات--شارع فيصل ابن عبد العزيز(المدينة الجديدة )شوشة رادس--الحي الاداري بن عروس**







"
"**نعسان(امام مكتب البريد)-بوجردقة--المستشفى الجهوي بالياسمينات--شارع فيصل ابن عبد العزيز(المدينة الجديدة)--شوشة رادس--الحي الاداري بن عروس**








"
*الخليدية-المحمدية-فوشانة-المغيرة(قارتاكس).*
*فوشانة-شبدة-نعسان-بوجردقة-المستشفي الجهوي بالياسمينات.*
*مرناق-بوجردقة-نعسان-فوشانة-المحمدية(ط و 3) . *
"1 خط-الخليدية-دوار الحوش-نعسان-بن عروس ش حبيب بورقيبة-حي ثامر-فتح الله-جبل الجلود-ديبوزفيل-شارع منصف باي-شارع قرطاج تونس
2 خط-المروج 2.1.3.4.5.6 -ابن سيناء
3 خط-نعسان-بوجردقة-الياسمينات-بن عروس شارع الحبيب بورقيبة........."
HAMMEM LIF-EZZAHRA GP1 -CHOUCHET RADES- ZONE ADMINISTRATIVE BEN AROUS-JBEL JLOUD-BAB ALIWA-MONCEF BEY-RUE ALI DARGHOUTH-AVENUE CARTAGE TUNIS***
"LIGNE.1MHAMDIA-FOUCHANA-MGHIRA(par gp3)-MOUROUJ1(par gp3)-LACAGNA(par autoroute)-BAB ALIOUA-AV.STATION-AV.MONGI BALI-BAB JAZIRA***
LIGNE2/FOUCHANA-MGHIRA-C.T.MHIRI-OMAR MOKTAR-BIRINE-SIDI HASSINE-MALLASSINE-HOPITAL RABTA-HOPITAL ENFANTS-HOPITAL CHARLE NICOL/
LIGNE3/MOROUJ2/5/4/3/1-MAKFOUFINE-CHOUCHET RADES-RADES PORT***"
LIGNE:MORNAG-BOUJARDGUA-YESMINETTE BEN AROUS-JEBEL JELLOUD-DUBOSVILLE-BAB ALIOUA-MONCEF BEY-AVENUE DE CARTHAGE***
"LIGNE:VILLAGE BORJ CEDRIA-BIR EL BEY-
HAMMAM-CHATT-HAMMAM-LIF-BOUMHEL -BASSATINE-ZAOUIA-MORNAG*****
H.LIF-EZZAHRA-BORJ LOUZIR-CHOUCHT RADES-BEN AROUS GP1-JEBEL JLOUD-BAB ALIOUA-MONCEF BEY-RUE ALI DARGHOUTH-AVE DE CARTHAGE-
H.LIF-EZZAHRA-RADES MELLIANE-RADESMALLAHA-RADES PORT



"
LIGNE:Z.T. BORJ CEDRIA-B.CEDRIA ARRET-BIR EL BEY-H.CHATT-TAHAR SFAR- H.LIF- EZZAHRA-B.LOUZIR-CHOUCHA RADES-MEGRINE RIADH- J JLOUD- DIBOUZVILLE-AVE DE CARTHAGE TUNIS GP1***
Mohamed Echahmi-les berges du lac-ain zaghouane-la marsa
"الخط /برج السدرية قرية-حمام الشط(ط و1) -الطاهر صفر (ط و 1) -محطة الملعب(ط و 1)-حمام الانف(ط و 1)-الزهراء(شارع البيئة)-رادس-رادس الشاطئ*****
"
الخط : المحمدية - فوشانة - ط و3 المغيرة - ط و3 -اليهودية- ط و 3- المروج 1 ط و 3-مستشفي الحروق البليغة - الطريق السريعة- باب عليوة- شارع المحطة- ساحة المنجي بالي- باب الجزيرة***
"الخط 1 - برج السدرية (قرية) حمام الشط-حمام الانف-بومهل البساتين-مرناق***
الخط 2- حمام الانف(ط و 1)- الزهراء (ط و 1)- برج الوزير (ط و 1)-

 شوشة رادس - بن عروس الحي الاداري-جبل الجلود-باب عليوة-المنصف باي- شارع قرطاج
الحط3- حمام الانف (ط و 1 )-بومهل-بوجردقة-مستشفى الياسمينات-الياسمينات-بن عروس(ش.الحبيب بورقيبة) ****"
"الخط 1/المحمدية-فوشانة-المغيرةاليهودية-(ط و3)-المروج-ميامي-المكفوفين-بن عروس(ش.الجمهورية)-ش.الحبيب بورقيبة(بن عروس)-شارع فرنسا-الحي الاداري(ط و1)-مقرين(حي شاكر)
الخط2/مرناق-بوجردقة-الياسمينات-بن عروس(ش.الحبيب بورقيبة)-فتح الله-جبل الجلود-باب عليوة-المنصف باي-نهج علي درغوق-شارع قرطاج***"
"الخط الاول/(المحمدية-فوشانة-المغيرة-اليهودية/ط و3)-سوق السيارات-منتزه ابن سيناء-طريق زغوان-المسلخ البلدي-لاكانيا-باب عليوة-شارع المحطة-ساحة المنجي بالي-باب الجزيرة/
الخطالثاني/(المحمدية-فوشانة-المغيرة-اليهودية ط و3)-الطريق الحزامية-ميامي المروج1-المكفوفين-شوشة رادس(ط و1)-المطبعة الرسمية-منتزه فرحات حشاد-رادس الملاحة-ميناء رادس/
الخط الثالث/رادس-الطريق الحزامية-مقرين شاكر-سان قوبان-شارع الجمهورية-نهج علي درغوث-شارع قرطاج***"
"الخط الاول/المحمدية(ط و3)-فوشانة(ط و3)-المغيرة انزال(ط و3)-بيرين-عمر المختار-السيجومي-الملاسين-شارع9افريل - افريل-مستشفى شال نيكول-باب سعدون/
الخط2/المحمدية(ط و3)-فوشانة(ط و3)-المغيرة(ط و3)-اليهودية(ط و3)-ميامي(عبر الحزامية)-المكفوفين-شارع الجمهورية(بن عروس)-شارع الحبيب بورقيبة(بن عروس)-نهج بنزرت)-بن عروس)/"
الخط الاول/المحمدية-فوشانة(ط و3)-المغيرة-اليهودية-المروج1-مستشفى الحروق-لاكانيا-باب عليوة-شارع المحطة-ساحة المنجي بالي-باب الجزيرة-الخط الثاني/ المحمدية(ط و3)-فوشانة(ط و3)-المغيرة(ط و3)-اليهودية-الحزامية-ميامي-المكفوفين-شارع الجمهورية-(بن عروس)-شارع الحبيب بورقيبة(بنعروس)-نهجبنزرت(بنعروس)**
"الخط الاول/المحمدية-فوشانة-المنطقة الصناعية المغيرة-اليهودية(ط و3)-المروج1(ط و3)-مستشفى الحروق البليغة-لاكانيا-باب عليوة-شارع المحطة-ساحة المنجي بالي-باب الجزيرة/
الخط الثاني-مرناق-زاوية مرناق-بوجردقة-نعسان-المروج6-5-4-3-2-سوق السيارات-ابن سينا-باب عليوة-المنصف باي-نهج علي درغوث-شارع قرطاج/
الخط3/جبل الوسط-شركة سيف-المنطقة الصناعية بوربيع-الطريق الحزامية-المكفوفين-بن عروس ش.فرنسا-شوشة رادس-رادس-رادس الملاحة-ميناء رادس-جسرحلق الوادي-حلق الوادي-الكرم-قرطاج-أميلكار-سيدي بوسعيد-المرسى-م-شاطئ-الباساج"
"الخط الاول/فوشانة(ط و3)-المغيرة(ط و3)-المروج1(ط و3)-مستشفى الحروق-لاكانيا-باب عليوة-شارع المحطة-ساحة المنجي بالي-باب الجزيرة تونس***
الخط الثاني/ المحمدية-ط و 3-فوشانة-ط و 3-المغيرة ط و 3-اليهودية ط و 3-طريق الحزامية-ميامي-المكفوفين-مفترق الياسمينات-بن عروس-شارع البيئة-شوشة رادس-منتزه فرحات حشاد-رادس المدينة-رادس الشاطئ***-"
"الخط الاول/مرناق-بوجردقة-الياسمينات بن عروس(ش.ح.بورقيبة)-جبل الجلود-باب عليوة-منصف باي-علي درغوث-ابن قزمان-شارع قرطاج
الخط2/مرناق-الزاوية-سانية البحري-بومهل البساتين-دورة الحلايبية-بوقرنين(ط1)-حمام الانف/"
الخط الاول/مستشفى الياسمينات-الياسمينات-شارع الجمهورية(بن عروس)-شارع الحبيب بورقيبة(بن عروس)فتح الله-ديبوزفيل-باب عليوة-منصف باي-نهج علي درغوث-شارع قرطاج***
"الخط الاول/ميامي المروج-المكفوفين-حي الاسكان-سان جاك-شوشة رادس-المدينة(طو1)-الزهراء(طو1)-حمام الانف(طو1)-حمام الشط(طو1)-برج السدرية***
خط2:ميامي المروج-مفترق بئر القصعة-المكفوفين-بن عروس(شارع البيئة)-سان جاك-شوشة رادس-منتزه فرحات حشاد-رادس-رادس ميناء***
-"
الخط -المحمدية-فوشانة (ط و 3)المغيرة(ط و 3)اليهودية(ط و 3)-مستشفى الحروق البليغة-لاكانيا-باب عليوة-شارع المحطة-ساحة المنجي بالي-باب الجزيرة***
الخط*برج الطويل(امام نادي الطفولة-مستشفي منجي سليم عبر طريق حي شاكر-طريق جعفر -طريق شطرانة-برج الغولة-شارع المغرب العربي-شارع البيئة ***ن
"الخط.الاول-المحمدية (ط و 3)-فوشانة(ط و 3)-المغيرة أنزال-بيرين-عمر المختار-سيدي حسين(السيجومي)- الملاسين-شارع 9أفريل-مستشفى شارل نيكول-باب سعدون***
الخط.المحمدية-(ط و 3)-فوشانة(ط و 3)-المغيرة(ط و 3)-اليهودية(ط و 3)-ميامي(عبرالحزامية)-المكفوفين-شارعالجمهورية(بن عروس)-شارع الحبيب بورقيبة(بن عروس)-نهج بنزرت(بن عروس).
"
"الخط.المحمدية(ط و 3) فوشانة(ط و 3) المغيرة(ط و3)اليهودية(ط و3)المروج1(ط و3)مستشفى الحروق البليغة-الطريق السريعة الجنوبية-لاكانيا-باب عليوة-شارع المحطة-ساحة المنجي بالي
"
"الخط.المروج (6-5-4-3-1)-مستشفى الحروق البليغة-لاكانيا-باب عليوة-شارع المنصف باي-نهج علي درغوث-شارع قرطاج.***
"
الخط/(المروج6.5.4.3.1)-مستشفى الحروق البليغة-لاكانيا-باب عليوة-شارع المنصف باي-نهج علي درغوث-شارع قرطاج***
"الخط/1المحمدية(ط و3)-فوشانة(ط و3)-المغيرة(ط و3)-اليهودية(ط و3)-المروج1(ط و3)-مستشفى الحروق البليغة-لاكانيا-باب عليوة-شارع المحطة-ساحة المنجي بالي-باب الجزيلرة/
الخط2/المحمدية(ط و3)-فوشانة(ط و3)-المغيرة(ط و3)-اليهودية(ط و3)-ميامي(عبر الحزامية)-المكفوفين-شارع الجمهورية(بن عروس)-شارع الحبيب بورقيبة(بن عروس)-نهج بنزرت(بن عروس)"
الخط/6.5.4.3.1-مستشفى الحروق-لاكانيا-باب عليوة-منصف باي-علي درغوث-شارع قرطاج***
الخط/الخليدية(ط ج36)-دوار الحوش(ط ج36)-نعسان(ط ج36)-بئر القصعة(ط ج36)-المكفوفين-الطريق السريعة الجهوية(24)-لاكانيا-باب عليوة-المنصف باي-نهج علي درغوث-شارع قرطاج***
الخط/الخليدية-دوار الحوش-نعسان-المروج(ط و33)-المكفوفين-بنعروس(ش.ح.بورقيبة)-جبل الجلود-ديبوزفيل-باب عليوة-منصف باي-نهد علي درغوث-شارع قرطاج***
الخط/الخليدية-دوار الحوش-نعسان-بئر القصعة-بنعروس(ش.ح.بورقيبة)-جبل الجلود-باب عليوة-منصف باي-نهج علي درغوث-شارع قرطاج***
الخط/الخليدية-نعسان-بئر القصعة-المكفوفين-شارع الجمهورية(بن عروس)-شارع الحبيب بورقيبة(بن عروس)-فتح الله-جبل الجلود-ديبوزفيل-باب عليوة-المنصف باي-نهج علي درغوث-شارع قرطاج***
الخط/المحطة الاستشفائية بجل الوسط-المحمدية(ط و3)-فوشانة(ط و3)-المغيرة(ط و3)-اليهودية(ط و3)-الطريق الحزامية ميامي- المكفوفين-حي الاسكان-بن عروس (ش.ح.بورقيبة)-شارع فرنس***
"الخط/المحمدية(ط و 3 )-فوشانة(ط و3)-المغيرة(ط و3)-المروج1(ط و3)-مستشفى الحروق-لاكانيا-باب عليوة-شارع المحطة-ساحة المنجي بالي-باب الجزيرة ****
الخط- المحمدية ط و 3-فوشانة ط و 3-المغيرة ط و 3 اليهودية ط و 3-طريق حزامية-ميامي-المكفوفين-بن عروس شارع الجمهورية-بن عروس شارع الحبيب بورقيبة -بن عروس نهج بنزرت****"
الخط/المحمدية(ط و3)-فوشانة(ط و3)-المغيرة انزال-بيرين-عمر المختار-السيجومي-الملاسين-شارع 9افريل-مستشفى شارل نيكول-باب سعدون***
