PKLigne;Pk1;LIGNE; TYPE ;Nbre de Voie;PN voisin gare (à indiquer);       TYPE ANI;DE ANP;CDV VPN;ASSAINISSEMENT ZONE ANI;ASSAINISSEMENT ZONE ANP;ASSAINISSEMENT ZONE VPN;CONTACT RAIL ANI;CONTACT RAIL ANP;CONTACT RAIL VPN;DUREE ANNONCE  PAIRE;DUREE ANNONCE IMPAIRE;terre;coupure bipolaire;PN avec clignoteur à mercure;PN dôté d'alim commune;Etat du câblage châssis;Etat de la guérite;PN dôté de minuterie;type Télécontrôle;"ETAT
 BATTERIE";OBSERVATIONS;Observations;Arrondissement;Zone;Latitude;Longitude;Pk Route;Urbain-Rural;Visibilité;Gouvernorat;Institution concernée;Présignalisation
62 , 337L2;62 , 337;2;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 37° 3'41.37""N";"  9° 7'20.56""E";;;;;;
64 , 037L2;64 , 037;2;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 37° 2'52.50""N";"  9° 6'49.49""E";;;;;;
64 , 692L2;64 , 692;2;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 37° 2'37.86""N";"  9° 6'33.36""E";;;;;;
65 , 293L2;65 , 293;2;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 37° 2'19.79""N";"  9° 6'24.50""E";;;;;;
65 , 778L2;65 , 778;2;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 37° 2'6.01""N";"  9° 6'14.07""E";;;;;;
68 , 135L2;68 , 135;2;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 37° 0'53.46""N";"  9° 5'54.27""E";;;;;;
68 , 524L2;68 , 524;2;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 37° 0'47.93""N";"  9° 5'35.84""E";;;;;;
80 , 113L2;80 , 113;2;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°57'22.59""N";"  8°59'48.61""E";;;;;;
81 , 248L2;81 , 248;2;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;"6°57'28.54""N";"8°59'3.53""E";;;;;;
83 , 443L2;83 , 443;2;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°57'48.01""N";"  8°57'45.98""E";;;;;;
86 , 496L2;86 , 496;2;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°58'0.53""N";"  8°55'49.23""E";;;;;;
87 , 739L2;87 , 739;2;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°57'41.20""N";"  8°55'7.26""E";;;;;;
88 , 330L2;88 , 330;2;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°57'23.87""N";"  8°54'57.20""E";;;;;;
89 , 413L2;89 , 413;2;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°57'5.25""N";"  8°54'21.33""E";;;;;;
90 , 194L2;90 , 194;2;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°57'6.77""N";"  8°53'49.60""E";;;;;;
90 , 998L2;90 , 998;2;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°57'9.55""N";"  8°53'17.66""E";;;;;;
92 , 158L2;92 , 158;2;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°57'18.96""N";"  8°52'32.44""E";;;;;;
94 , 035L2;94 , 035;2;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°57'17.61""N";"  8°51'17.78""E";;;;;;
96 , 441L2;96 , 441;2;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°57'29.45""N";"  8°49'49.48""E";;;;;;
97 , 053L2;97 , 053;2;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°57'34.30""N";"  8°49'18.13""E";;;;;;
99 , 055L2;99 , 055;2;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°57'22.88""N";"  8°47'59.33""E";;;;;;
101 , 700L2;101 , 700;2;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°57'0.42""N";" 8°46'21.60""E";;;;;;
3 , 829L3;3 , 829;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 37° 2'22.08""N";"  9°39'21.42""E";;;;;;
4 , 264L3;4 , 264;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 37° 2'19.28""N";"  9°39'2.76""E";;;;;;
4 , 795L3;4 , 795;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 37° 2'6.09""N";"  9°38'49.39""E";;;;;;
5 , 249L3;5 , 249;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 37° 1'52.21""N";"  9°38'39.47""E";;;;;;
6 , 300L3;6 , 300;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 37° 1'21.38""N";"  9°38'21.75""E";;;;;;
8 , 250L3;8 , 250;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 37° 0'55.91""N";"  9°37'25.58""E";;;;;;
9 , 030L3;9 , 030;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 37° 0'49.77""N";"  9°36'58.38""E";;;;;;
9 , 700L3;9 , 700;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 37° 0'34.69""N";"  9°36'39.52""E";;;;;;
10 , 850L3;10 , 850;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 37° 0'6.87""N";"  9°36'11.78""E";;;;;;
12 , 500L3;12 , 500;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°59'43.87""N";"  9°35'12.90""E";;;;;;
13 , 720L3;13 , 720;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°59'8.94""N";"  9°35'7.01""E";;;;;;
14 , 500L3;14 , 500;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°58'47.87""N";"  9°34'50.25""E";;;;;;
15 , 450L3;15 , 450;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°58'25.05""N";"  9°34'23.79""E";;;;;;
16 , 080L3;16 , 080;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°58'14.85""N";"  9°34'2.21""E";;;;;;
17 , 700L3;17 , 700;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°57'55.15""N";"  9°33'2.56""E";;;;;;
18 , 520L3;18 , 520;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°57'40.09""N";"  9°32'36.14""E";;;;;;
19 , 100L3;19 , 100;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°57'30.54""N";"  9°32'16.10""E";;;;;;
19 , 701L3;19 , 701;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°57'36.57""N";"  9°31'53.07""E";;;;;;
20 , 217L3;20 , 217;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°57'43.44""N";"  9°31'36.51""E";;;;;;
23 , 405L3;23 , 405;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°57'35.48""N";"  9°29'35.13""E";;;;;;
24 , 106L3;24 , 106;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°57'25.07""N";"  9°29'11.18""E";;;;;;
25 , 291L3;25 , 291;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°57'11.07""N";"  9°28'26.29""E";;;;;;
26 , 310L3;26 , 310;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°56'42.14""N";"  9°28'25.78""E";;;;;;
27 , 541L3;27 , 541;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°56'2.77""N";" 9°28'25.48""E";;;;;;
30 , 015L3;30 , 015;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°54'54.87""N";"  9°27'29.25""E";;;;;;
31 , 145L3;31 , 145;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°54'27.59""N";"  9°27'5.37""E";;;;;;
31 , 945L3;31 , 945;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°54'6.24""N";"  9°26'46.13""E";;;;;;
32 , 524L3;32 , 524;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°54'2.08""N";"  9°26'45.35""E";;;;;;
33 , 202L3;33 , 202;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°53'49.16""N";"  9°26'41.61""E";;;;;;
33 , 970L3;33 , 970;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°53'29.65""N";"  9°26'29.61""E";;;;;;
34 , 869L3;34 , 869;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°52'45.74""N";"  9°25'50.64""E";;;;;;
36 , 077L3;36 , 077;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°52'17.84""N";"  9°25'18.82""E";;;;;;
36 , 950L3;36 , 950;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°52'0.71""N";"  9°24'51.83""E";;;;;;
37 , 904L3;37 , 904;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°51'41.12""N";"  9°24'23.54""E";;;;;;
38 , 685L3;38 , 685;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°51'31.44""N";"  9°23'54.52""E";;;;;;
39 , 302L3;39 , 302;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°51'26.61""N";"  9°23'30.44""E";;;;;;
41 , 415L3;41 , 415;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°50'36.37""N";"  9°22'54.58""E";;;;;;
42 , 145L3;42 , 145;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°50'21.34""N";"  9°22'38.31""E";;;;;;
43 , 480L3;43 , 480;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;"36°49'43.97""N";"  9°22'8.08""E";;;;;;
45 , 183L3;45 , 183;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°49'7.23""N";"  9°21'18.07""E";;;;;;
46 , 523L3;46 , 523;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°48'33.15""N";"  9°20'46.90""E";;;;;;
48 , 900L3;48 , 900;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°47'32.46""N";"  9°19'58.70""E";;;;;;
51 , 037L3;51 , 037;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°47'6.11""N";"  9°18'42.90""E";;;;;;
52 , 294L3;52 , 294;3;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°46'46.99""N";"  9°17'43.89""E";;;;;;
00 , 165L4;00 , 165;4;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 37° 9'39.86""N";"  9°45'27.79""E";;;;;;
01 , 189L4;01 , 189;4;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 37° 9'42.19""N";"  9°46'2.38""E";;;;;;
02 , 666L4;02 , 666;4;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 37° 9'21.73""N";"  9°46'55.69""E";;;;;;
03 , 337L4;03 , 337;4;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 37° 9'12.50""N";"  9°47'20.86""E";;;;;;
03 , 776L4;03 , 776;4;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 37° 9'5.66""N";"  9°47'35.90""E";;;;;;
03 , 998L4;03 , 998;4;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 37° 9'2.75""N";"  9°47'43.40""E";;;;;;
12 , 300L5;12 , 300;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°45'16.26""N";" 10°17'47.21""E";;;;;;
26,728L5;26,728;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°41'3.65""N";" 10°25'50.61""E";;;;;;
29 , 653L5;29 , 653;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°39'50.36""N";" 10°27'4.47""E";;;;;;
29 , 827L5;29 , 827;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°39'45.80""N";" 10°27'8.68""E";;;;;;
32 , 732L5;32 , 732;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°38'15.21""N";" 10°27'31.76""E";;;;;;
36 , 499L5;36 , 499;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;"36°36'37.96""N";"10°28'49.22""E";;;;;;
40 , 913L5;40 , 913;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°34'46.19""N";" 10°30'38.01""E";;;;;;
41 , 131L5;41 , 131;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°34'35.57""N";" 10°30'46.39""E";;;;;;
41 , 473L5;41 , 473;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°34'30.70""N";" 10°30'49.76""E";;;;;;
42 , 232L5;42 , 232;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°34'9.78""N";" 10°31'6.00""E";;;;;;
43 , 524L5;43 , 524;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°33'34.20""N";" 10°31'33.15""E";;;;;;
52,343L5;52,343;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°29'27.28""N";" 10°34'17.13""E";;;;;;
74 , 735L5;74 , 735;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°20'1.91""N";" 10°27'48.58""E";;;;;;
76 , 411L5;76 , 411;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°19'10.13""N";" 10°27'27.80""E";;;;;;
79 , 639L5;79 , 639;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°17'30.57""N";" 10°26'48.11""E";;;;;;
80 , 048L5;80 , 048;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°17'17.92""N";" 10°26'42.95""E";;;;;;
80 , 847L5;80 , 847;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°16'53.22""N";" 10°26'33.09""E";;;;;;
84 , 508L5;84 , 508;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°14'58.68""N";" 10°25'56.12""E";;;;;;
92,762L5;92,762;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36°10'36.46""N";" 10°25'13.54""E";;;;;;
94 , 932L5;94 , 932;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36° 9'34.13""N";" 10°24'42.19""E";;;;;;
95 , 550L5;95 , 550;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36° 9'19.98""N";" 10°24'24.78""E";;;;;;
97 , 480L5;97 , 480;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36° 8'35.80""N";" 10°23'30.35""E";;;;;;
107 , 600L5;107 , 600;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36° 3'21.18""N";" 10°22'10.42""E";;;;;;
111 , 501L5;111 , 501;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 36° 1'13.60""N";" 10°22'11.17""E";;;;;;
114 , 935L5;114 , 935;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°59'43.89""N";" 10°23'31.39""E";;;;;;
115 , 897L5;115 , 897;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°59'18.85""N";" 10°23'55.29""E";;;;;;
116 , 687L5;116 , 687;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°58'59.08""N";" 10°24'15.16""E";;;;;;
118 , 900L5;118 , 900;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°58'15.09""N";" 10°25'28.22""E";;;;;;
123 , 438L5;123 , 438;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°56'42.26""N";" 10°27'43.96""E";;;;;;
125 , 030L5;125 , 030;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°56'20.96""N";" 10°28'41.64""E";;;;;;
129 , 164L5;129 , 164;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°55'2.79""N";" 10°30'49.47""E";;;;;;
130 , 074L5;130 , 074;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°54'43.24""N";" 10°31'16.69""E";;;;;;
132 , 030L5;132 , 030;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°53'45.64""N";" 10°31'39.74""E";;;;;;
133 , 894L5;133 , 894;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°53'3.56""N";" 10°32'30.06""E";;;;;;
134 , 470L5;134 , 470;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°52'48.62""N";" 10°32'42.67""E";;;;;;
137 , 261L5;137 , 261;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°51'34.95""N";" 10°33'42.60""E";;;;;;
139 , 518L5;139 , 518;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°50'24.79""N";" 10°34'1.73""E";;;;;;
154 , 920L5;154 , 920;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°42'51.47""N";" 10°35'55.13""E";;;;;;
155 , 380L5;155 , 380;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°42'36.86""N";" 10°35'58.60""E";;;;;;
156 , 452L5;156 , 452;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°42'2.68""N";" 10°36'6.98""E";;;;;;
157 , 730L5;157 , 730;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°41'21.78""N";" 10°36'17.01""E";;;;;;
158 , 519L5;158 , 519;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°40'56.78""N";" 10°36'23.13""E";;;;;;
161 , 152L5;161 , 152;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°39'33.35""N";" 10°36'45.09""E";;;;;;
165 , 259L5;165 , 259;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°37'30.46""N";" 10°37'38.29""E";;;;;;
166 , 711L5;166 , 711;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°36'45.48""N";" 10°37'38.34""E";;;;;;
167 , 731L5;167 , 731;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°36'12.86""N";" 10°37'36.12""E";;;;;;
169 , 820L5;169 , 820;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°35'7.78""N";" 10°37'49.88""E";;;;;;
172 , 951L5;172 , 951;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°33'31.99""N";" 10°38'34.91""E";;;;;;
174,027L5;174,027;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°32'59.37""N";"10°38'42.97""E";;;;;;
176 , 859L5;176 , 859;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°31'31.00""N";"10°38'52.50""E";;;;;;
178 , 076L5;178 , 076;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°30'52.33""N";" 10°38'50.11""E";;;;;;
178 , 871L5;178 , 871;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°30'26.99""N";" 10°38'54.83""E";;;;;;
180 , 832L5;180 , 832;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°29'23.29""N";" 10°38'59.52""E";;;;;;
183 , 878L5;183 , 878;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°27'55.64""N";" 10°39'44.56""E";;;;;;
184 , 482L5;184 , 482;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°27'40.12""N";" 10°39'59.24""E";;;;;;
187 , 032L5;187 , 032;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°26'36.71""N";" 10°40'59.83""E";;;;;;
191 , 162L5;191 , 162;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°24'58.66""N";" 10°42'44.33""E";;;;;;
193 , 732L5;193 , 732;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°23'41.00""N";" 10°43'21.83""E";;;;;;
195 , 081L5;195 , 081;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°23'0.32""N";" 10°43'41.33""E";;;;;;
197 , 233L5;197 , 233;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°21'54.65""N";" 10°44'0.78""E";;;;;;
198 , 586L5;198 , 586;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°21'11.58""N";" 10°43'52.43""E";;;;;;
199 , 893L5;199 , 893;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°20'29.66""N";" 10°43'46.08""E";;;;;;
202 , 516L5;202 , 516;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°19'9.49""N";" 10°43'13.09""E";;;;;;
207 , 314L5;207 , 314;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°16'44.62""N";" 10°42'16.03""E";;;;;;
208 , 782L5;208 , 782;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°15'57.67""N";" 10°42'9.16""E";;;;;;
210 , 633L5;210 , 633;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°14'58.23""N";" 10°42'19.53""E";;;;;;
212 , 651L5;212 , 651;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°13'54.30""N";" 10°42'36.83""E";;;;;;
214 , 143L5;214 , 143;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°13'6.31""N";" 10°42'42.47""E";;;;;;
215 , 010L5;215 , 010;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°12'38.20""N";" 10°42'42.66""E";;;;;;
217 , 060L5;217 , 060;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35°11'32.99""N";" 10°42'37.84""E";;;;;;
224 , 101L5;224 , 101;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35° 7'55.37""N";" 10°43'49.96""E";;;;;;
225 , 137L5;225 , 137;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35° 7'22.12""N";" 10°43'58.83""E";;;;;;
226 , 490L5;226 , 490;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35° 6'39.15""N";" 10°44'9.80""E";;;;;;
227 , 195L5;227 , 195;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35° 6'20.11""N";" 10°44'24.21""E";;;;;;
229 , 185L5;229 , 185;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35° 5'17.48""N";" 10°44'12.01""E";;;;;;
230 , 423L5;230 , 423;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;"35° 4'37.51""N";" 10°44'6.77""E";;;;;;
231 , 937L5;231 , 937;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35° 3'48.57""N";" 10°44'0.50""E";;;;;;
232 , 639L5;232 , 639;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35° 3'25.95""N";" 10°43'59.09""E";;;;;;
234,012L5;234,012;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35° 2'42.99""N";" 10°44'14.56""E";;;;;;
236 , 985L5;236 , 985;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35° 1'17.13""N";" 10°45'7.37""E";;;;;;
238,292L5;238,292;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 35° 0'37.48""N";" 10°45'23.96""E";;;;;;
239,529L5;239,529;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°59'58.09""N";" 10°45'25.03""E";;;;;;
243,859L5;243,859;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°57'40.80""N";" 10°45'53.51""E";;;;;;
245 , 631L5;245 , 631;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°56'43.19""N";" 10°45'53.74""E";;;;;;
247 , 217L5;247 , 217;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°55'51.88""N";" 10°45'55.20""E";;;;;;
249 , 479L5;249 , 479;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°54'38.78""N";" 10°46'3.67""E";;;;;;
252 , 426L5;252 , 426;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°53'3.52""N";" 10°46'14.60""E";;;;;;
255 , 460L5;255 , 460;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°51'26.86""N";" 10°46'2.07""E";;;;;;
279,000L5;279;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°41'3.44""N";" 10°41'36.82""E";;;;;;
281 , 960L5;281 , 960;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°39'45.76""N";" 10°40'26.39""E";;;;;;
282 , 150L5;282 , 150;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°39'41.71""N";" 10°40'21.72""E";;;;;;
283 , 300L5;283 , 300;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;"34°39'11.45""N";" 10°39'47.35""E";;;;;;
284 , 750L5;284 , 750;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°38'37.15""N";" 10°39'22.77""E";;;;;;
285 , 150L5;285 , 150;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°38'25.85""N";" 10°39'11.89""E";;;;;;
285 , 950L5;285 , 950;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°38'6.10""N";" 10°38'49.49""E";;;;;;
286 , 950L5;286 , 950;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°37'41.78""N";" 10°38'23.69""E";;;;;;
288 , 080L5;288 , 080;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°37'18.78""N";"10°37'49.29""E";;;;;;
293 , 900L5;293 , 900;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°34'59.93""N";" 10°35'17.28""E";;;;;;
294 , 200L5;294 , 200;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°34'51.35""N";" 10°35'8.90""E";;;;;;
296 , 504L5;296 , 504;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°34'0.35""N";" 10°34'5.09""E";;;;;;
298 , 945L5;298 , 945;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°33'12.91""N";" 10°32'49.64""E";;;;;;
304 , 900L5;304 , 900;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°31'29.61""N";" 10°29'40.10""E";;;;;;
306 , 170L5;306 , 170;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°31'15.09""N";" 10°28'54.48""E";;;;;;
314 , 020L5;314 , 020;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°31'2.45""N";" 10°23'50.37""E";;;;;;
315 , 420L5;315 , 420;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°31'0.77""N";" 10°22'54.95""E";;;;;;
322 , 300L5;322 , 300;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°30'47.02""N";" 10°18'27.97""E";;;;;;
323 , 950L5;323 , 950;5;CSA;;;;;;;;;;;;;;;;;;;;;;;;;;;" 34°30'40.37""N";" 10°17'22.98""E";;;;;;
