   ;ENTREPRISE;CODE_SEC;VILLE_SIEGE;ADRESSE;TEL;FAX
54;CIM-NUTRITION ANIMALE;IAA;BEN AROUS;Rte de Mornag km 10 BP 2- ZI Ben Arous;71 380 389;71 380 375
55;COMPANIE AFRICAINE DES PATES ALIMENTAIRES - CAPA;IAA;BEN AROUS;Route de Sousse Km4 Megrine;71 390 466;71 390 037
56;EL GAMRA;IAA;BEN AROUS;Rue ARAFA N°4 - RADES;71 430 241;71 430 417
57;ETABLISEMENTS NOURI ET CIE;IAA;BEN AROUS;Route El Hamma;76 452 273;76 453 033
58;ETABLISSEMENTS BEN JEBARA;IAA;BEN AROUS;Rue de l'éléctricité, Z.I;71 380 986;71 388 310
59;ETTAKOUA;IAA;BEN AROUS;11, Rue Ahmed Beyrem;71 331 442;__ ___ ___
60;GENERAL CAKE;IAA;BEN AROUS;Lot 106 Z.I M'ghira 2 Fouchena;79 408 053;79 408 143
61;HORCHANI DATTES INTERNATIONAL - HDI;IAA;BEN AROUS;11 Rue Ahmed Toulane El Menzah;71 238 283;71 753 202
62;HUILERIE MODERNE SAIDANE;IAA;BEN AROUS;Ferme Hedi SAIDANE - Fouchana;71 394 423;__ ___ ___
63;IAT - INDUSTRIES ALIMENTAIRES DE TUNISIE;IAA;BEN AROUS;ROUTE KHALIDIA-NAASSEN;71 308 000;71 308 060
64;INDUSTRIE ET PREPARATIONS ALIMENTAIRES IPA;IAA;BEN AROUS;Rue El jinène Mornag;71 300 027;71 300 088
65;LA MEDITERRANEENNE DES INDUSTRIES AGRO-ALIMENTAIRES- EPIKA;IAA;BEN AROUS;13 Rue du Thym Boumhel;57 069 457/54069457;71 304 144
66;LES PATISSERIES PADELA;IAA;BEN AROUS;Rue Mongi Bali;71 433 580;71 433 580
67;MED EXOIL;IAA;BEN AROUS;37 Rue Ali Zlitni El Manar 3;20 555 620;
68;MINOTERIE & SEMOULERIE DE L'AVENUE SADOK BEY;IAA;BEN AROUS;ZI Bir Kassâa 2059 BP 171;71 381 621;71 381 621
69;NUTRIMIX;IAA;BEN AROUS;GP 1 KM 12 BOUMHEL;70 020 520;71 452 534
70;OEUFRUITS;IAA;BEN AROUS;20 Avenue Habib Thameur;71 348 280;71 352 574
71;PATISSERIE KAMOUN;IAA;BEN AROUS;7, rue Khalifa Dimassi;71 310 873;71364 459
72;PATISSERIE MODERNE;IAA;BEN AROUS;ZI El Mghira 2 Lot A30 Fouchana;71 409 773;71 409 747
73;SAIDANE HUILE D'OLIVE;IAA;BEN AROUS;Ferme Saidane FOUCHANA;71401871;71401819
74;SELECT FRUITS;IAA;BEN AROUS;71 rue Alain Savary ap C 32 cité El Khadhra;71 770 733;71 772 648
75;SERVET;IAA;BEN AROUS;RUE FADHEL BEN ACHOUR;71361119;71301408
76;SFCJF;IAA;BEN AROUS;Rue de la Chimie Z. I. Ben Arous;71 382 538;71 382 829
77;SLAMA FRUITS & LEGUMES;IAA;BEN AROUS;14 Rue du tissage ZI Ksar Said Douar Hicher;71 546 620;71 546 332
78;SOCIETE AGRICOLE ESSANIA;IAA;BEN AROUS;Z.I M'ghira 2 Fouchena;79 408 238;79 408 258
79;SOCIETE ALMES;IAA;BEN AROUS;GP1 Km 12 Ezzahra;71 454 545;71 452 534
80;SOCIETE AVICOLE MODERNE - SAVIMO;IAA;BEN AROUS;"BP 78
BOUMHEL BASSATINE
";71216177;71216253
81;SOCIETE BEN YOUNES POUR LES HUILES DU CENTRE EST;IAA;BEN AROUS;86 Avenue de l'Indépendance Fouchena;71 394 177/71401188;71 400 255
82;SOCIETE CAFE NASRI - LA BRESILIENNE;IAA;BEN AROUS;15 RUE DES TEINTURIERS;71 323 174;71 383 274
83;SOCIETE CENTRAL FEED;IAA;BEN AROUS;Avenue Habib Bourguiba N° 85 Radès;71 452 516;79 486 210
84;SOCIETE CHAHRAZED;IAA;BEN AROUS;GP1 Km 12  Ezzahra;70 020 520/71454545;71 451 107/71452534
85;SOCIETE COMMERCIALE DE DATTES - SOCODATTES;IAA;BEN AROUS;15 Rue Ibn Khaldoun Radès;71 442 709;71 444 078
86;SOCIETE COTUGRAIN;IAA;BEN AROUS;ZI Saint Gobain Mégrine;71 426 313;71 426 644
87;SOCIETE CRISTAL TUNISIE;IAA;BEN AROUS;ZI Sidi Rezig Rue des usines Mégrine;71 426 509;71 434 320
88;SOCIETE DE CONDITIONNEMENT D'HUILE ALIMENTAIRE - SCHA;IAA;BEN AROUS;76 Village Méditerrannée Immeuble D Radès;72 254 078;72 254 003
89;SOCIETE DE TRANSFORMATION DES PRODUITS AGRICOLES - SOTRAPA;IAA;BEN AROUS;Rue Mustapha M'barek N°10;71 398 730;71 398 698
90;SOCIETE DELTA FOODS INDUSTRIES;IAA;BEN AROUS;Lot n°107 Rue Sfax Z.I Mghira 2 Fouchana;79 408 363/463;79 408 588/199
91;SOCIETE DES INDUSTRIE ALIMENTAIRES MAGHREBINES - SIAM;IAA;BEN AROUS;ZI Ben Arous Voie A BP 28;70 837 332;70 837 207
92;SOCIETE EL BARAKA DES PRODUITS AGROALIMENTAIRES-SBPAA;IAA;BEN AROUS;Route de Mornag Km 9 BP 141;71 398 702;71 398 705
93;SOCIETE EL JAWHARA;IAA;BEN AROUS;ZI M'GHIRA lot 29;79 408 374;79 408 343
94;SOCIETE ELARFAOUI DE CONSERVCES ET PRODUITS AGROCLE;IAA;BEN AROUS;CITE HIDHAB  FOUCHANA BEN AROUS;71931002;71931002
95;SOCIETE FARAH;IAA;BEN AROUS;ZI Borj Cedria Bir El Bey;71 411 400;71 411 401
96;SOCIETE FRUIDOR;IAA;BEN AROUS;12 Rue El kounaitra;71 355 090;71 353 084
97;SOCIETE GENERALE DES BOISSONS ET DES INDUSTRIES ALIMENTAIRES - SGBIA;IAA;BEN AROUS;Route de Sousse Km 6 Z.I Ben Arous;71 385 133;71 386 066
98;SOCIETE INDUSTRIES ALIMENTAIRES DE TUNISIE-IAT;IAA;BEN AROUS;Route Khlidia Naassen;71 308 000;71 308 060
99;SOCIETE LA GENERALE DE LA PATISSERIE ET DE CONFISERIE - GEPACO;IAA;BEN AROUS;Rue Yakout El Hamaoui Dar Fadhal Soukra;71 308 441;71 308 476
100;SOCIETE LA TUNISIENNE DES TECHNOLOGIES ALIMENTAIRES-TTA;IAA;BEN AROUS;Rue El Jinène Cité Doukali Mornag;71 300 027;71 300 088
101;SOCIETE LAND'OR - EX SOVIA;IAA;BEN AROUS;Bir Jedid  Khélidia;71 366 666;71 366 006
102;SOCIETE LAYLA;IAA;BEN AROUS;Rue de l'Electricité ZI Ben Arous;26 462 067;79 390 685
103;SOCIETE LES INDUSTRIES ALIMENTAIRES - RANDA;IAA;BEN AROUS;ZI Bir Kassaa;71 382 333;71 384 775
104;SOCIETE LES VERGERS DE TUNISIE;IAA;BEN AROUS;Rue du cuivre BP 192;71 381 262;71 384 077
105;SOCIETE L'OLIVIER D'OR;IAA;BEN AROUS;Route de Sijoumi km 1.5 Fouchana;79 322 350;79 322 350
106;SOCIETE MED OIL COMPANY;IAA;BEN AROUS;GP1 KM 12 EZZAHRA;71 454 545/71449403;71 449 454
107;SOCIETE MEDITERRANEENNE FRUITIERE - MEDIFRUIT;IAA;BEN AROUS;8 Rue Ahmed Tlili ZI Borj cedria BP 68;71431833/114;71 431 513
108;SOCIETE MEGRINE SETE;IAA;BEN AROUS;6 Avenue Habib Bourguiba Mégrine;71 433 139;71 433 139
109;SOCIETE MEUNIERE TUNISIENNE - SMT;IAA;BEN AROUS;ZI Bir El Kassaa;71 382 333;71 384 775
110;SOCIETE MOONA FOOD;IAA;BEN AROUS;Domaine Hassine Mohsen;79 358 945;79 358 777
111;SOCIETE MORNAG FRUIT TRADING - MFT;IAA;BEN AROUS;29 Rue du Mercure Médina El Jadida;79 350 020;79 350 026
112;SOCIETE MUTUELLE DE BASE DE SERVICE AGRICOLE - SMBSA;IAA;BEN AROUS;M'GHIRA CENTRE FOUCHANA;71 401 235;71 401 235
113;SOCIETE OASIS FRUITS;IAA;BEN AROUS;Rue 20 Mars Nâassen;98 340 700;79 393 450
114;SOCIETE OLIVIANA FOODS;IAA;BEN AROUS;7 Rue Beyrem Tounsi, Boumhel Bassatine;24 709 087;24 709 087
115;SOCIETE PATIS TUNISIE;IAA;BEN AROUS;Route de Khelidia Km 12 Naâssen;71 398 135;71 398 135
116;SOCIETE RAFFINERIE AFRICAINE;IAA;BEN AROUS;Rue des Usines ZI Sidi Rezig;71 426 509;71 425 637
117;SOCIETE RIAD DE CONSERVES ALIMENTAIRES - SORICA;IAA;BEN AROUS;Rue Hammouda Hassine M'hamdia;71 304 324;71 306 320
118;SOCIETE SAF TRADING;IAA;BEN AROUS;Rue 20 Mars km 11 Naasen;71 308 486;71 398 029
119;SOCIETE SAPORI ITALIA;IAA;BEN AROUS;Sabelet Mornag El Ksibi Mornag;31 400 924;32 400 924
120;SOCIETE SATS;IAA;BEN AROUS;Route MC 34 Box 75 Mornag;71 300 884;71 300 884
121;SOCIETE SELECT AGRICOLE SERVICE - SAS;IAA;BEN AROUS;71 Rue Alain Savary App C32 - 3ième étage;71 770 733;71 772 648
122;SOCIETE SOCOMALKI;IAA;BEN AROUS;Route de Morneg Km7;71 398 702;71 398 705/71847322
123;SOCIETE SODEA KHELIDIA;IAA;BEN AROUS;Route de Mornag km 2 Khélidia;71 366 166;71 366 255
124;SOCIETE SOGEVIANDE;IAA;BEN AROUS;BP 56 Mornag 2090 Ben Arous;71 367 517;71 367 521
125;SOCIETE SOTUBI;IAA;BEN AROUS;66 AV HABIB BOURGUIBA MEGRINE;71432999;71434422
126;SOCIETE SOTUCHOC;IAA;BEN AROUS;Route khÃ©lidia - Naassen - Ben Arous;71398910;79309036
127;SOCIETE SUN ANTIPASTI;IAA;BEN AROUS;Route de la fonderie Rue Jebel Ressas Mornag;71 367 870;71 367 866
128;SOCIETE TARDI;IAA;BEN AROUS;06 Rue El Fouledh Mégrine Erriadh;71 433 000;71 433 280
129;SOCIETE TIBA FOODS INDUSTRY ( EX SATUCO);IAA;BEN AROUS;BP 51 BIR EL KASS?A;71 388 888;71 387 777
130;SOCIETE TUNIHUILE;IAA;BEN AROUS;Imm. Pacha Center Bloc B 3 ème etage Appt B8;71 397 500/71950988;71 399 806/71950515
131;SOCIETE TUNISIE BRICK;IAA;BEN AROUS;Immeuble étoile du Nord App B02 centre urbain nord;71 948 258;71 948 108
132;SOCIETE TUNISIE FARINE;IAA;BEN AROUS;ZI Bir Kassaa;71 382 333;71 387 744
133;SOCIETE TUNISIENNE DE BISCOTTES - SOBISCO;IAA;BEN AROUS;Rue El Fouledh Z.I. Ben Arous;71 380 224;71 384 232
134;SOCIETE TUNISIENNE DE CONDITIONNEMENT ALIMENTAIRE - STCA;IAA;BEN AROUS;Lot N° 104 ZI M'Ghira 2 Fouchana;79 408 630/640;79 408 640/560
135;SOCIETE TUNISIENNE DE CONDITIONNEMENT DE PRODUITS  ALIMENTAIRES-EL JAZIRA;IAA;BEN AROUS;ZI Morneg BP 81;71 300 892;71 300 892
136;SOTAM;IAA;BEN AROUS;Route Ben Arous Mornag Km 11;79 350 650;79 350 685
137;SOTUALCO;IAA;BEN AROUS;;__ ___ ___;__ ___ ___
138;ST MICHEL TUNIS (EX BISCUITERIE MEDITERRANEENNE);IAA;BEN AROUS;Rue Ibn Abi Dhiaf;71 429 373;71 426 015
139;STE AGRICOLE ET FROID;IAA;BEN AROUS;Avenue 20 Mars km 11 Naâssen;71 308 486;71 398 029
140;STE EL MAJD;IAA;BEN AROUS;Avenue Habib Bourguiba Tazarka;72 225 180;72 225 180
141;STE FRIGOS BEN HAMIDA;IAA;BEN AROUS;Rue de l'energie ZI BEN AROUS;71 386 064;71 386 944
142;STE TUNISIENNE DE BOISSONS GAZEUSES- STBG;IAA;BEN AROUS;Avenue Taieb Mhiri;71 434 880;71 434 210
143;STUCOD AGRI;IAA;BEN AROUS;Route de Khlidia Km 11 Naâssen;71 308 666;71 308 485
