Bibliothèques publiques,Livres arabes,Livres étrangers 
Regional Manouba,15957,5338
Tebourba,13438,5976
Jedaida,8921,3381
Oued Ellil,8759,3323
Mornaguia,10799,4132
Denden,5337,3064
Borj Al Amri,6491,2192
Douar Hicher 1,3000,958
Douar Hicher 2,3776,1098
Battan,6920,3124
