Bibliothèques publiques,Livres arabes,Livres étrangers 
Regional Manouba,6387,1456
Tebourba,11782,1647
Jedaida,8276,1895
Oued Ellil,9027,2072
Mornaguia,8538,1223
Denden,6985,1208
Borj Al Amri,7646,1790
Douar Hicher 1,6103,1075
Douar Hicher 2,4293,809
Battan,6729,744
