Nom,Enfants-F-2016,Enfants-G-2016,Jeunes-F-2016,Jeunes-G-2016,Adultes-F-2016,Adultes-G-2016,Total-2016,Enfants-F-2017,Enfants-G-2017,Jeunes-F-2017,Jeunes-G-2017,Adultes-F-2017,Adultes-G-2017,Total-2017,Enfants-F-2018,Enfants-G-2018,Jeunes-F-2018,Jeunes-G-2018,Adultes-F-2018,Adultes-G-2018,Total-2018,
Bibliothèque public de TAZERKA ,135,228,60,177,9,10,619,128,221,96,157,7,13,622,,209,160,137,43,13,5,567
Bibliothèque public de el HAOURIA  ,0,0,100,81,0,0,181,41,42,24,20,8,10,145,,81,58,52,30,26,27,274
Bibliothèque public de BENI KHIAR,189,240,35,106,3,10,583,90,163,55,128,3,9,448,,180,89,154,30,20,8,481
Bibliothèque public de AZMOUR ,45,32,47,82,6,4,216,53,48,15,26,1,2,145,,39,21,26,8,7,4,105
Bibliothèque public de HAMAM ELGZAZ ,38,65,13,33,2,0,151,65,84,28,64,0,6,247,,66,58,58,11,4,3,196
Bibliothèque public de BENI KHALED ,60,103,136,404,8,7,718,61,106,113,310,6,4,600,,84,49,274,63,8,4,482
Bibliothèque public de OM THWIL,,,,,,,,,,,,,,,,41,38,4,0,2,7,92
Bibliothèque public de DAR CHAABAN ELFEHRI ,310,454,172,483,9,7,1435,231,389,229,533,8,6,1396,,298,166,314,150,5,4,937
Bibliothèque public de HAMMAMET ,202,267,182,485,26,39,1201,101,142,141,335,8,14,741,,306,139,509,168,29,24,1175
Bibliothèque public de KELIBIA place de la jeunesse ,188,274,88,257,18,22,847,148,268,52,204,19,20,711,,223,149,216,85,25,21,719
Bibliothèque public de MAAMOURA ,107,150,24,79,5,7,372,110,165,51,128,6,11,471,,212,138,143,47,13,6,559
Bibliothèque public de MENZEL BOUZELFA ,140,271,71,172,5,14,673,149,330,92,209,3,2,785,,258,171,174,91,0,0,694
Bibliothèque public de GROMBALIA ,142,196,92,333,15,12,790,67,89,70,273,14,13,526,,145,99,339,110,13,16,722
Bibliothèque public de ZAWIT JDIDI ,31,40,11,17,0,0,99,41,81,5,34,0,2,163,,82,40,40,11,0,1,174
Bibliothèque public de DAR ALOUCH ,43,46,11,41,0,2,143,86,98,8,30,3,3,228,,73,66,40,17,2,7,208
Bibliothèque public de MENZEL HOR ,33,72,6,12,0,0,123,31,65,4,17,1,2,120,,67,37,26,2,0,2,134
Bibliothèque public de KELIBIA CITE RIADH ,38,58,37,73,12,4,222,47,51,35,63,15,9,220,,22,25,57,39,5,9,157
Bibliothèque public de BOUARGOUB ,59,89,73,206,2,2,431,80,92,62,212,4,5,455,,63,66,161,73,1,3,367
Bibliothèque public de SOLIMAN ,125,183,78,79,9,3,477,100,155,64,103,5,5,432,,71,48,78,69,6,20,292
Bibliothèque public de MENZEL TEMIM ,141,224,116,321,22,11,835,135,232,59,369,23,10,828,,269,153,64,0,19,271,776
Bibliothèque public de MIDA ,59,167,24,72,0,0,322,88,110,17,65,0,0,280,,149,122,131,50,21,11,484
Bibliothèque public de SOMAA ,145,158,22,66,1,6,398,145,155,18,82,3,13,416,,89,75,59,17,28,14,282
Bibliothèque public de KORBA ,338,466,117,403,6,22,1352,505,700,98,363,12,19,1697,,782,575,304,55,21,5,1742
Bibliothèque public régional de NABEUL,160,210,829,1151,59,63,2472,45,186,597,1139,69,64,2100,,172,128,1374,625,74,74,2447
Bibliothèque ambulante  de NABEUL ,240,304,48,106,34,55,787,124,206,54,91,40,60,575,,196,133,70,52,60,51,562
Bibliothèque public de TAKELSSA ,420,512,11,50,16,19,1028,320,512,12,15,16,19,894,,,,,,,,
