Nom_institutions,Nbre_cadres,Nbre_agents,Nbre_ouvriers,Nbre_animateurs,Nbre_ouvriers_vacataires
crac sousse,13,3,4,0,0
Bibliothèques,39,26,20,,4
Maisons de culture,21,5,13,9,2
Conservatoire régional de la Musique et de la Danse,11,1,1,0,3
Centre des Arts dramatiques et Sceniques de Sousse,2,0,0,0,0
,,,,,
autre proposition,,,,,
Categorie 2021,Cadre,situation profissionnelle,Nombre,,
Cadre,A1,Titulaire,49,,
Cadre,A1,Détaché,0,,
Cadre,A2,Titulaire,22,,
Cadre,A2,Détaché,9,,
Cadre,A2,Stagiaire,3,,
Cadre,A3,Titulaire,11,,
Agent,B,Titulaire,18,,
Agent,C,Titulaire,10,,
Agent,D,Titulaire,6,,
Ouvrier,Catégorie 3,Titulaire,9,,
Ouvrier,Catégorie 4,Titulaire,7,,
Ouvrier,Catégorie 5,Titulaire,12,,
Ouvrier,Catégorie 6,Titulaire,0,,
Ouvrier,Catégorie 7,Titulaire,2,,
Ouvrier,Catégorie 8,Titulaire,5,,
Ouvrier,Catégorie 9,Titulaire,0,,
Ouvrier,Catégorie 10,Titulaire,3,,
