Année,Titre du film,Genre du film,Societe de production,Realisateur,Montant  de la subvention,Nombre de tranches,Montant total des tranches
2019,Les Epouvantails,long métrage de fiction,Mésanges,Nouri Bouzid,500000,toutes les tranches,500000
2019,BUNKOEUR,long métrage de fiction,SSW,Nidhal Chatta,500000,tranche 1+2 +t3 ,450000
2019,Loving Wallada,long métrage de fiction,Wallada,Nasser Khemir,100000,toutes les tranches,100000
2019,الرجل الذي باع ظهره,long métrage de fiction,Cinetefilm,Kawther Ben Hnia,500000,toutes les tranches,500000
2019,محظي الباي,long métrage de fiction,L'Agence du Film,Fethi Doghri,550000,tranches 1 + 2,275000
2019,STREAMS ou SOLO,long métrage de fiction,YOL HOUSE,Mehdi Hmili,450000,toutes les tranches,450000
2019,معز,long métrage de fiction,SVP,Mohamed Ali Nehdi,140000,tranche1,112000
2019,Il neige à sidi Bousaid,long métrage documentaire,Propaganda,Fatma cherif,120000,tranche 1+2+t3 ,12000
2019,Manca Moro,long métrage documentaire,Nomadis,Rim Tmimi,120000,toutes les tranches,120000
2019,True Story,court métrage de fiction,Ulysson,Mohamed Amine Lakhnech ,50000,toutes les tranches,50000
2019,Une journée presq ensolei,court métrage de fiction,Inside Prod,Rim Nakhli,60000,toutes les tranches,60000
2019,البانو,court métrage de fiction,APA,Anissa Daoud,70000,toutes les tranches,70000
2019,une journée ordinaire,court métrage de fiction,CTV,Mirvet Medini Kammoun,80000,toutes les tranches,80000
2019,الحس,court métrage de fiction,Iris Production,Heifel Ben Youssef ,50000,toutes les tranches,50000
2019,628,aide à la réécriture,Godolphin Films,Issam Bouguerra,20000,toutes les tranches,20000
2019,أشهد أني عشت,aide à la réécriture,Amilcar film,Imen Nassri,30000,toutes les tranches,30000
2019,ماندا,court métrage de fiction,Carapace,Heifel Ben Youssef ,60000,toutes les tranches,60000
