Proprietaire du projet,Nom du projet,Montant de la subvention
أشرف حمودة,نصدر في عجزي,2.000
Compagnie Ikaa et Amarys,Au Belvédère,15.000
عماد جمعة,Seul au Monde,15.000
مروان الروين,بالتفصيل الممل,10.000
سلمى بوحجة,جذور,3.000
سيف الدين المناعي,F.L.Y,16.000
أميمة المناعي,Apple-Power,18.000
نجيب خلف الله,Délire,18.000
كريم توائمية,La danse des Twayefs,20.000
نسرين شعبوني,Andalouses,16.000
سيرين دوس,Yallah de l’avant,12.000
وائل المرغني,Guerreros (eyes of eagle),10.000
