Formations initiales;Matelot de la Marine Marchande;Matelot Mécanicien de la Marine Marchande;TTL*;"*Nouveau

TSTL**";Capitaine 500;Mécanicien 750 KW;AEP***;Total
2010-2012;60;58;23;;;;;141
2013;18;21;13;;30;16;14;112
2014;60;58;23;;30;16;14;201
2015;97;65;20;;29;13;14;238
2016;118;85;36;8;17;13;14;291
2017;151;101;49;8;16;13;-;338
Total/ promotion;10;9;6;1;2;1;1;
;;;;;;;;
TTL *= Technicien en Transport et Logistique;;;;;;;;
TSTL **= Technicien Supérieur en Transport et Logistique;;;;;;;;
AEP***= Agent d'Exploitation Portuaire;;;;;;;;
