Gouvernorats;NB;Localisation;Spécialité;"Date de Création"
Siliana;141;"cité ibn kholdoun à bouarada";"Jeux individuels";2016
Sousse;144;"sousse cité olympique";"Multi displine";1990
Sousse;148;M'saken;"Multi displine";1994
Sousse;149;"Sousse(bouhssina, el kazmet, boukhzar)";"Salle des sports défensifs";2008
Monastir;152;"complexe sportif à Monastir";"Multi displine";1987
Monastir;156;Jammel;"Multi displine";1996
Monastir;161;"Cité el okba à Monastir";"Multi displine";2005
Mahdia;164;Mahdia;"Multi displine";1989
Mahdia;169;"El chebba";"Multi displine";2016
Sfax;172;Sfax;"Multi displine";1991
Sfax;177;"el chihia";"Hand ball et volley ball";2005
Sfax;181;"Sidi mansour cité Sifax";"Sports défensifs";2009
Sfax;185;"El Simar Sfax";"Sports défensifs";2017
"Sous Total (Sfax)";;15;;
Kairouan;190;"el weslatia";"Multi displine";2008
Kairouan;194;Tebben;Boxe;2015
Kairouan;195;"Salle de sport individuelle  à Sbikha";"Jeux individuels";2017
Kasserine;198;Tela;"Multi displine";2000
"Sous Total (Kasserine)";;5;;
"Sidi Bouzid";206;"Salle de sport individuelle Souk ejdid";"Jeux individuels";
Gabès;209;Gabès;"salle de Gido";2007
Gabès;214;"Salle de sport individuelle à matmata";"jeux individuels";2016
Mednine;217;"Houmet el souk";"Multi displine";1992
Mednine;222;"Cité essalem Mednine";"Multi displine";2018
Tataouine;225;Ghmersene;"Tennis de table";2008
Gafsa;228;Gafsa;"Multi displine";1987
Gafsa;229;"Gafsa Sud";"salle des jeux individuels";2016
Tozeur;232;"Cité el ouediene dguech";"Jeux individuels";2018
Kbèli;235;Kbéli;"Multi displine";2005
Tunis;4;"Tunis El mallasine";"Multi displine";1991
Tunis;8;"La Marsa";"Multi displine";1992
Tunis;13;"Cité la Jeunesse";Gido;
Tunis;17;"Cité la Jeunesse";Basket-ball;1998
Tunis;22;"Cité la Jeunesse";"Salle de boxe";2007
Tunis;26;"jardin A Salle d'entrainnement";"basket ball";1970
Tunis;31;"el Omrane el taib ben ammar";Boxe;2000
Tunis;35;"El hrayria";Karaté;2013
Tunis;39;"salle de sport collective hédi khafcha Menzeh";"Multi displine";
"Sous Total (Tunis)";;39;;
Ariana;43;"Borj el wzir";"Multi displine";2006
Ariana;47;"el tadhamon el mnihla cité ennaser";"Sports défensifs";2012
"Sous Total (Ariana)";;12;;
"Ben Arous";55;Rades;"Multi displine";1994
"Ben Arous";60;"Salle de lutte à megrine cheker";Wrestling;1986
"Ben Arous";64;Naassene;"Sports défensifs";2009
"Sous Total (Ben Arous)";;17;;
Mannouba;72;"Douar hicher";"salle des sports individuels";
