annee_scolaire;ordre_CRE;Nom_CRE;Lib_matriere;effectif_enseignants
2021/2022;25; Sousse ;Education islamique;
2021/2022;26; Nabeul ;Education islamique;2
2021/2022;1;Tunis 1;Histoire et géographie;2
2021/2022;2;Tunis 2;Histoire et géographie;
2021/2022;3; Ariana ;Histoire et géographie;2
2021/2022;4; Mannouba ;Histoire et géographie;2
2021/2022;5; Ben Arous ;Histoire et géographie;3
2021/2022;6; Zaghouan ;Histoire et géographie;1
2021/2022;7; Bizerte ;Histoire et géographie;2
2021/2022;8; Béja ;Histoire et géographie;2
2021/2022;9; Jendouba ;Histoire et géographie;
2021/2022;10; Siliana ;Histoire et géographie;
2021/2022;11; Le Kef ;Histoire et géographie;
2021/2022;12; Kasserine ;Histoire et géographie;1
2021/2022;13; Sidi Bouzid ;Histoire et géographie;3
2021/2022;14; Gafsa ;Histoire et géographie;1
2021/2022;15; Tozeur ;Histoire et géographie;
2021/2022;16; Kébili ;Histoire et géographie;2
2021/2022;17; Tataouine ;Histoire et géographie;
2021/2022;18; Médenine ;Histoire et géographie;2
2021/2022;19; Gabès ;Histoire et géographie;3
2021/2022;20;Sfax 1;Histoire et géographie;4
2021/2022;21;Sfax 2;Histoire et géographie;1
2021/2022;22; Mahdia ;Histoire et géographie;5
2021/2022;23; Kairouan ;Histoire et géographie;1
2021/2022;24; Monastir ;Histoire et géographie;
2021/2022;25; Sousse ;Histoire et géographie;4
2021/2022;26; Nabeul ;Histoire et géographie;5
2021/2022;1;Tunis 1;Mathématiques;2
2021/2022;2;Tunis 2;Mathématiques;1
2021/2022;3; Ariana ;Mathématiques;2
2021/2022;4; Mannouba ;Mathématiques;1
2021/2022;5; Ben Arous ;Mathématiques;3
2021/2022;6; Zaghouan ;Mathématiques;
2021/2022;7; Bizerte ;Mathématiques;4
2021/2022;8; Béja ;Mathématiques;1
2021/2022;9; Jendouba ;Mathématiques;
2021/2022;10; Siliana ;Mathématiques;
2021/2022;11; Le Kef ;Mathématiques;1
2021/2022;12; Kasserine ;Mathématiques;1
2021/2022;13; Sidi Bouzid ;Mathématiques;2
2021/2022;14; Gafsa ;Mathématiques;2
2021/2022;15; Tozeur ;Mathématiques;
2021/2022;16; Kébili ;Mathématiques;1
2021/2022;17; Tataouine ;Mathématiques;1
2021/2022;18; Médenine ;Mathématiques;
2021/2022;19; Gabès ;Mathématiques;3
2021/2022;20;Sfax 1;Mathématiques;3
2021/2022;21;Sfax 2;Mathématiques;1
2021/2022;22; Mahdia ;Mathématiques;2
2021/2022;23; Kairouan ;Mathématiques;2
2021/2022;24; Monastir ;Mathématiques;3
2021/2022;25; Sousse ;Mathématiques;5
2021/2022;26; Nabeul ;Mathématiques;6
2021/2022;1;Tunis 1;Sciences de la vie et de la Terre;
2021/2022;2;Tunis 2;Sciences de la vie et de la Terre;
2021/2022;3; Ariana ;Sciences de la vie et de la Terre;1
2021/2022;4; Mannouba ;Sciences de la vie et de la Terre;
2021/2022;5; Ben Arous ;Sciences de la vie et de la Terre;2
2021/2022;6; Zaghouan ;Sciences de la vie et de la Terre;
2021/2022;7; Bizerte ;Sciences de la vie et de la Terre;1
2021/2022;8; Béja ;Sciences de la vie et de la Terre;1
2021/2022;9; Jendouba ;Sciences de la vie et de la Terre;
2021/2022;10; Siliana ;Sciences de la vie et de la Terre;
2021/2022;11; Le Kef ;Sciences de la vie et de la Terre;
2021/2022;12; Kasserine ;Sciences de la vie et de la Terre;
2021/2022;13; Sidi Bouzid ;Sciences de la vie et de la Terre;1
