annee_scolaire;ordre_CRE;Nom_CRE;Lib_matriere;effectif_enseignants
2021/2022;13; Sidi Bouzid ;Arts et artisanat;3
2021/2022;14; Gafsa ;Arts et artisanat;
2021/2022;15; Tozeur ;Arts et artisanat;3
2021/2022;16; Kébili ;Arts et artisanat;
2021/2022;17; Tataouine ;Arts et artisanat;
2021/2022;18; Médenine ;Arts et artisanat;2
2021/2022;19; Gabès ;Arts et artisanat;4
2021/2022;20;Sfax 1;Arts et artisanat;6
2021/2022;21;Sfax 2;Arts et artisanat;
2021/2022;22; Mahdia ;Arts et artisanat;3
2021/2022;23; Kairouan ;Arts et artisanat;3
2021/2022;24; Monastir ;Arts et artisanat;6
2021/2022;25; Sousse ;Arts et artisanat;1
2021/2022;26; Nabeul ;Arts et artisanat;3
2021/2022;1;Tunis 1;Tourisme;2
2021/2022;2;Tunis 2;Tourisme;1
2021/2022;3; Ariana ;Tourisme;3
2021/2022;4; Mannouba ;Tourisme;3
2021/2022;5; Ben Arous ;Tourisme;1
2021/2022;6; Zaghouan ;Tourisme;
2021/2022;7; Bizerte ;Tourisme;3
2021/2022;8; Béja ;Tourisme;
2021/2022;9; Jendouba ;Tourisme;1
2021/2022;10; Siliana ;Tourisme;
2021/2022;11; Le Kef ;Tourisme;1
2021/2022;12; Kasserine ;Tourisme;1
2021/2022;13; Sidi Bouzid ;Tourisme;1
2021/2022;14; Gafsa ;Tourisme;1
2021/2022;15; Tozeur ;Tourisme;
2021/2022;16; Kébili ;Tourisme;1
2021/2022;17; Tataouine ;Tourisme;
2021/2022;18; Médenine ;Tourisme;2
2021/2022;19; Gabès ;Tourisme;5
2021/2022;20;Sfax 1;Tourisme;6
2021/2022;21;Sfax 2;Tourisme;1
2021/2022;22; Mahdia ;Tourisme;2
2021/2022;23; Kairouan ;Tourisme;4
2021/2022;24; Monastir ;Tourisme;1
2021/2022;25; Sousse ;Tourisme;5
2021/2022;26; Nabeul ;Tourisme;
2021/2022;1;Tunis 1;Arts graphiques;
2021/2022;2;Tunis 2;Arts graphiques;1
2021/2022;3; Ariana ;Arts graphiques;
2021/2022;4; Mannouba ;Arts graphiques;
2021/2022;5; Ben Arous ;Arts graphiques;
2021/2022;6; Zaghouan ;Arts graphiques;
2021/2022;7; Bizerte ;Arts graphiques;
2021/2022;8; Béja ;Arts graphiques;
2021/2022;9; Jendouba ;Arts graphiques;
2021/2022;10; Siliana ;Arts graphiques;
2021/2022;11; Le Kef ;Arts graphiques;
2021/2022;12; Kasserine ;Arts graphiques;1
2021/2022;13; Sidi Bouzid ;Arts graphiques;
2021/2022;14; Gafsa ;Arts graphiques;
2021/2022;15; Tozeur ;Arts graphiques;
2021/2022;16; Kébili ;Arts graphiques;
2021/2022;17; Tataouine ;Arts graphiques;
2021/2022;18; Médenine ;Arts graphiques;3
2021/2022;19; Gabès ;Arts graphiques;
2021/2022;20;Sfax 1;Arts graphiques;
2021/2022;21;Sfax 2;Arts graphiques;
2021/2022;22; Mahdia ;Arts graphiques;
2021/2022;23; Kairouan ;Arts graphiques;
2021/2022;24; Monastir ;Arts graphiques;
2021/2022;25; Sousse ;Arts graphiques;
2021/2022;26; Nabeul ;Arts graphiques;
2021/2022;1;Tunis 1;Coiffure et esthétique;1
2021/2022;2;Tunis 2;Coiffure et esthétique;
2021/2022;3; Ariana ;Coiffure et esthétique;
2021/2022;4; Mannouba ;Coiffure et esthétique;
2021/2022;5; Ben Arous ;Coiffure et esthétique;
2021/2022;6; Zaghouan ;Coiffure et esthétique;
2021/2022;7; Bizerte ;Coiffure et esthétique;
2021/2022;8; Béja ;Coiffure et esthétique;
2021/2022;9; Jendouba ;Coiffure et esthétique;
2021/2022;10; Siliana ;Coiffure et esthétique;
2021/2022;11; Le Kef ;Coiffure et esthétique;
2021/2022;12; Kasserine ;Coiffure et esthétique;
2021/2022;13; Sidi Bouzid ;Coiffure et esthétique;
2021/2022;14; Gafsa ;Coiffure et esthétique;
2021/2022;15; Tozeur ;Coiffure et esthétique;
2021/2022;16; Kébili ;Coiffure et esthétique;
2021/2022;17; Tataouine ;Coiffure et esthétique;
2021/2022;18; Médenine ;Coiffure et esthétique;1
2021/2022;19; Gabès ;Coiffure et esthétique;
2021/2022;20;Sfax 1;Coiffure et esthétique;1
2021/2022;21;Sfax 2;Coiffure et esthétique;
2021/2022;22; Mahdia ;Coiffure et esthétique;
2021/2022;23; Kairouan ;Coiffure et esthétique;
2021/2022;24; Monastir ;Coiffure et esthétique;
2021/2022;25; Sousse ;Coiffure et esthétique;
2021/2022;26; Nabeul ;Coiffure et esthétique;2
2021/2022;1;Tunis 1;Patisserie;
2021/2022;2;Tunis 2;Patisserie;
2021/2022;3; Ariana ;Patisserie;
2021/2022;4; Mannouba ;Patisserie;
2021/2022;5; Ben Arous ;Patisserie;
2021/2022;6; Zaghouan ;Patisserie;
2021/2022;7; Bizerte ;Patisserie;
2021/2022;8; Béja ;Patisserie;
2021/2022;9; Jendouba ;Patisserie;
2021/2022;10; Siliana ;Patisserie;
2021/2022;11; Le Kef ;Patisserie;
2021/2022;12; Kasserine ;Patisserie;
2021/2022;13; Sidi Bouzid ;Patisserie;
2021/2022;14; Gafsa ;Patisserie;
2021/2022;15; Tozeur ;Patisserie;
2021/2022;16; Kébili ;Patisserie;
2021/2022;17; Tataouine ;Patisserie;
2021/2022;18; Médenine ;Patisserie;1
2021/2022;19; Gabès ;Patisserie;
2021/2022;20;Sfax 1;Patisserie;
2021/2022;21;Sfax 2;Patisserie;
2021/2022;22; Mahdia ;Patisserie;
2021/2022;23; Kairouan ;Patisserie;
2021/2022;24; Monastir ;Patisserie;
2021/2022;25; Sousse ;Patisserie;
2021/2022;26; Nabeul ;Patisserie;
2021/2022;1;Tunis 1;Tissage;
2021/2022;2;Tunis 2;Tissage;
2021/2022;3; Ariana ;Tissage;
2021/2022;4; Mannouba ;Tissage;
2021/2022;5; Ben Arous ;Tissage;2
2021/2022;6; Zaghouan ;Tissage;
2021/2022;7; Bizerte ;Tissage;
2021/2022;8; Béja ;Tissage;
2021/2022;9; Jendouba ;Tissage;
2021/2022;10; Siliana ;Tissage;
2021/2022;11; Le Kef ;Tissage;2
2021/2022;12; Kasserine ;Tissage;
2021/2022;13; Sidi Bouzid ;Tissage;5
2021/2022;14; Gafsa ;Tissage;3
2021/2022;15; Tozeur ;Tissage;
2021/2022;16; Kébili ;Tissage;
2021/2022;17; Tataouine ;Tissage;
2021/2022;18; Médenine ;Tissage;
2021/2022;19; Gabès ;Tissage;
2021/2022;20;Sfax 1;Tissage;
2021/2022;21;Sfax 2;Tissage;
2021/2022;22; Mahdia ;Tissage;
2021/2022;23; Kairouan ;Tissage;
2021/2022;24; Monastir ;Tissage;
2021/2022;25; Sousse ;Tissage;1
2021/2022;26; Nabeul ;Tissage;
