Date;HP;MP+BP;Total (ktep-pci)
2021-03;24.318;112.4604;136.7784
2021-04;24.372;88.272;112.644
2021-05;20.088;63.756;83.844
2021-06;19.278;70.938;90.216
2021-07;22.158;62.901;85.0589999999999
2021-08;20.736;60.6419999999999;81.3779999999999
2021-09;23.571;70.272;93.843
2021-10;30.159;75.852;106.011
2021-11;27.441;90.3240000000001;117.765
2021-12;39.465;124.83;164.295
;;;0,000
