Secteur,Tranches Débloquées,Primes matérielles,Primes Immaterielle,Tranches primes Débloquées
IAA,422,"4,391,231","3,582,503","7,973,734"
ICC,227,"1,401,730","2,281,022","3,682,752"
ICH,390,"3,859,989","2,723,153","6,583,142"
ID,515,"2,511,605","5,833,287","8,344,892"
IMCCV,140,"1,154,229","1,759,911","2,914,140"
IME,801,"5,629,455","8,364,895","13,994,350"
IS,300,"803,312","3,961,180","4,764,492"
ITH,"1,87","18,285,196","20,635,583","38,920,779"
