Date,nom_ar,nom_fr,unite,valeur
2025-06-17 06:00:00,Pression relative,Pression relative,hPa,11070.0
2025-06-17 06:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-17 05:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-17 05:00:00,Pression relative,Pression relative,hPa,11071.0
2025-06-17 04:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-17 04:00:00,Pression relative,Pression relative,hPa,11070.0
2025-06-17 03:00:00,Pression relative,Pression relative,hPa,11071.0
2025-06-17 03:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-17 02:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-17 02:00:00,Pression relative,Pression relative,hPa,11072.0
2025-06-17 01:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-17 01:00:00,Pression relative,Pression relative,hPa,11073.0
2025-06-17 00:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-17 00:00:00,Pression relative,Pression relative,hPa,11069.0
2025-06-16 21:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-16 21:00:00,Pression relative,Pression relative,hPa,11067.0
2025-06-16 19:00:00,Pression relative,Pression relative,hPa,11072.0
2025-06-16 19:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-16 17:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-16 17:00:00,Pression relative,Pression relative,hPa,11071.0
2025-06-16 16:00:00,Pression relative,Pression relative,hPa,11072.0
2025-06-16 16:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-16 15:00:00,Pression relative,Pression relative,hPa,11070.0
2025-06-16 15:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-16 13:00:00,Niveau du fluid,Niveau du fluid,m,11.28
2025-06-16 13:00:00,Pression relative,Pression relative,hPa,11066.0
2025-06-16 12:00:00,Niveau du fluid,Niveau du fluid,m,11.28
2025-06-16 12:00:00,Pression relative,Pression relative,hPa,11066.0
2025-06-16 11:00:00,Pression relative,Pression relative,hPa,11067.0
2025-06-16 11:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-16 09:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-16 09:00:00,Pression relative,Pression relative,hPa,11067.0
2025-06-16 08:00:00,Pression relative,Pression relative,hPa,11068.0
2025-06-16 08:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-16 07:00:00,Pression relative,Pression relative,hPa,11070.0
2025-06-16 07:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-16 06:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-16 06:00:00,Pression relative,Pression relative,hPa,11071.0
2025-06-16 05:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-16 05:00:00,Pression relative,Pression relative,hPa,11070.0
2025-06-16 03:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-16 03:00:00,Pression relative,Pression relative,hPa,11070.0
2025-06-16 02:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-16 02:00:00,Pression relative,Pression relative,hPa,11070.0
2025-06-16 01:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-16 01:00:00,Pression relative,Pression relative,hPa,11070.0
2025-06-16 00:00:00,Pression relative,Pression relative,hPa,11070.0
2025-06-16 00:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-15 23:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-15 23:00:00,Pression relative,Pression relative,hPa,11069.0
2025-06-15 22:00:00,Pression relative,Pression relative,hPa,11069.0
2025-06-15 22:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-15 21:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-15 21:00:00,Pression relative,Pression relative,hPa,11070.0
2025-06-15 19:00:00,Pression relative,Pression relative,hPa,11066.0
2025-06-15 19:00:00,Niveau du fluid,Niveau du fluid,m,11.28
2025-06-15 17:00:00,Pression relative,Pression relative,hPa,11064.0
2025-06-15 17:00:00,Niveau du fluid,Niveau du fluid,m,11.28
2025-06-15 16:00:00,Pression relative,Pression relative,hPa,11065.0
2025-06-15 16:00:00,Niveau du fluid,Niveau du fluid,m,11.28
2025-06-15 15:00:00,Pression relative,Pression relative,hPa,11065.0
2025-06-15 15:00:00,Niveau du fluid,Niveau du fluid,m,11.28
2025-06-15 14:00:00,Pression relative,Pression relative,hPa,11065.0
2025-06-15 14:00:00,Niveau du fluid,Niveau du fluid,m,11.28
2025-06-15 13:00:00,Pression relative,Pression relative,hPa,11066.0
2025-06-15 13:00:00,Niveau du fluid,Niveau du fluid,m,11.28
2025-06-15 11:00:00,Pression relative,Pression relative,hPa,11068.0
2025-06-15 11:00:00,Niveau du fluid,Niveau du fluid,m,11.29
