Date;Production d’Essences, en kt;Production de Pétrole lampant, en kt;Production de Fuel, en kt;Production de Gasoil ordinaire, en kt;GPL;Production de White spirit, en kt;Production de Virgin Naphte, en kt;Production Total, en kt
1 / 2005;6.79;29.63;50.9;32.33;;0.45;26;146.1
2 / 2005;11.6;25.29;43.6;30.38;;0.61;12.98;124.46
3 / 2005;23.32;23.48;48.25;36.19;;0.71;11.14;143.09
4 / 2005;19.14;10.89;48.54;47.35;;0.71;10.66;137.29
5 / 2005;15.94;9.19;49.02;50.08;;0.67;10.15;135.05
6 / 2005;24.38;8.53;;50.99;;1.14;8.07;93.11
7 / 2005;15.11;21.36;;41.91;;0.38;10.04;88.8
8 / 2005;19.49;16.66;;44.46;;0.27;8.63;89.51
9 / 2005;21.94;15.06;;40.89;;0.18;3.48;81.55
10 / 2005;19.78;23.46;;36.25;;0.7;7.75;87.94
11 / 2005;20.4;17.14;;40.04;;0.57;10.16;88.31
12 / 2005;18.33;28.52;;31.07;;0.5;10.66;89.08
1 / 2006;19.87;20.7;53.39;33.79;;0.47;12.63;140.85
2 / 2006;17.71;12.52;47.82;40.93;;0.65;5.53;125.16
3 / 2006;15.83;15.94;51.77;42.04;;0.84;14.28;140.7
4 / 2006;16.04;17.1;52.92;44.73;;0.9;10.36;142.05
5 / 2006;15.21;8.45;51.21;47.79;;1.04;11.45;135.15
6 / 2006;3.96;0.88;40.23;38.36;;1.13;24.03;108.59
7 / 2006;5.52;0.99;42.41;44.9;;0.91;14.7;109.43
8 / 2006;16.1;5.95;59.41;53.36;;1.11;8.36;144.29
9 / 2006;18.62;8.1;58.17;48.79;;0.9;6.6;141.18
10 / 2006;15.36;15.1;47.79;26.37;;0.59;7.58;112.79
11 / 2006;17.11;14.91;44.71;46.78;;0.7;9.49;133.7
12 / 2006;18.24;15.33;54.4;37.98;;0.64;10.1;136.69
1 / 2007;16.6;16.48;54.12;41.54;;0.84;16.68;146.26
