Annee,Projets_crees,Montant_investissement,Nbr_emplois,Nbr_investissements
2018,4,61000000,12,87
2019,11,1613400000,48,98
2020,16,630000000,90,114
2022,6,349865000,26,120
2023,8,193000000,28,128
