Numéro;COD_GOUV;LIB_GOUV;cod_hc;lib_hop;adresse;tel;fax
76;52;MONASTIR;hc_SAHLINE;"HOPITAL DE SAHLINE";"SAHLINE - 5012";"(2167.73) 466 015";(216.73)
80;53;MAHDIA;hc_CHORBANE;"HOPITAL DE CHORBANE";"CHORBANE - 5130";"(216.73) 698 070";"(216.73) 698 070"
85;53;MAHDIA;"hc_OULED CHAMEKH";"HOPITAL DE OULED CHAMEKH";"Ouled Chamekh - 5120";"(216.73) 619 015";(216.73)
89;33;KEF;hc_NEBER;"HOPITAL DE NEBER";"NEBER - 7170";(216.78);(216.78)
96;61;SFAX;"hc_BIR ALI BEN KHLIFA";"HOPITAL DE BIR ALI BEN KHLIFA";;;
97;71;GAFSA;hc_BELKHIR;"HOPITAL DE  BELKHIR";"Route de Gabes Belkhir 2115";"(216 76) 297 388";"(216.76) 297 256"
101;71;GAFSA;hc_MOULARES;"HOPITAL DE MOULARES";"Cité moderne Moulares";"(216 76) 260 801/ 260 611";"(216 76)260 801"
105;72;TOZEUR;hc_HAZOUA;"HOPITAL DE HAZOUA";"Hazoua 2223";"(216 76) 440 166";"(216 76)"
110;43;"SIDI BOUZID";"hc_bir el hafey";"HOPITAL DE  BIR EL HAFEY";"Bir el hafey";"(216 76) 677 212";"(216 76)"
114;43;"SIDI BOUZID";"hc_ben aoun";"HOPITAL DE BEN AOUN";"Ben aoun";"(216 76) 660 202";"(216 76) 660 416"
120;73;KEBILI;hc_faouar;"HOPITAL DE FAOUAR";;;
124;83;TATAOUINE;hc_ghomrassen;"HOPITAL DE GHOMRASSEN";;;
