Nom_association ,Cadre,Subvention ,Nbre_spectacle_musique ,Nbre_pieces_theatre ,Nbre_spectacle _animation 
جمعية نابل كوميدي,مدن الفنون,2000,0,0,0
جمعية قربة للمسرح والتنشيط الثقافي,مدن الفنون,2000,0,0,0
جمعية منارة الادب بقليبية,مدن الآداب والكتاب ,4000,1,1,0
الجمعية التونسية للفنون والوساطة,مدن الحضارات,2000,0,0,0
جمعية أحباء المكتبة والكتاب بسليمان,مدن الآداب والكتاب ,1300,0,0,0
جمعية بيت المتوسط للثقافات,مدن الآداب والكتاب ,2000,0,0,0
جمعية قنطرة بقربة,مدن الفنون,1000,0,0,0
جمعية أوميرا للمسرح بمنزل بوزلفي,مدن الفنون,1000,1,2,0
جمعية معالم ومواقع بالوطن القبلي,مدن الفنون,500,0,0,0
جمعية البيت الثقافي العراقي التونسي,مدن الآداب والكتاب ,2000,0,0,0
جمعية نابل للتراث,مدن الحضارات,1500,0,0,0
جمعية أحباء المكتبة والكتاب بدار علوش ,مدن الآداب والكتاب ,800,0,0,0
جمعية أحباء المكتبة والكتاب بسليمان,مدن الآداب والكتاب ,1000,0,0,0
جمعية أحباء المكتبة والكتاب بأزمور,مدن الآداب والكتاب ,1400,0,0,0
جمعية أحباء المكتبة والكتاب بالمعمورة,مدن الآداب والكتاب ,2200,0,0,0
جمعية أحباء المكتبة والكتاب بنابل,مدن الآداب والكتاب ,5000,0,0,0
جمعية أحباء الطفل بالحمامات,مدن الفنون,3000,0,0,0
 جمعية مهرجانات بلا حدود بدار شعبان الفهري,مدن الفنون,1000,1,1,0
جمعية أحباء المكتبة والكتاب ببني خلاد,مدن الفنون,1600,0,0,0
جمعية أحباء المكتبة والكتاب بقربة,مدن الآداب والكتاب ,1400,0,0,0
جمعية هوارة للبحوث والدراسات التراثية بالهوارية,مدن الحضارات,1000,0,0,0
جمعية مهرجان الساف بالهوارية,مدن الفنون,5000,1,0,0
جمعية أحباء المكتبة والكتاب بدار شعبان الفهري,مدن الآداب والكتاب ,800,0,0,0
جمعية أحباء المكتبة الجهوية بنابل,مدن الآداب والكتاب ,4400,0,0,3
جمعية منارة الادب بقليبية,مدن الفنون,3000,0,0,0
جمعية مهرجان العنب بقرمبالية,مدن الفنون,5000,3,0,0
جمعية أحباء المكتبة والكتاب بمنزل بوزلفي,مدن الآداب والكتاب ,2000,0,0,0
جمعية الصداقة والعمل الاجتماعي,مدن الفنون,3000,1,0,0
جمعية فسيفساء للموسيقي والفنون بنابل,مدن الفنون,4500,0,0,0
جمعية أحباء المكتبة والكتاب بحمام الاغزاز,مدن الآداب والكتاب ,1600,0,0,0
الجمعية الجهوية للبيازرة بولاية نابل,مدن الفنون,1000,0,0,0
جمعية التنشيط والمهرجانات بنابل,مدن الفنون,15500,2,0,0
جمعية أحباء المكتبة الجهوية بنابل,مدن الآداب والكتاب ,1400,0,0,0
جمعية التنمية والنهوض بشباب الخروبة,مدن الفنون,1000,5,1,3
جمعية مهرجان سيدي علي الصمعي,مدن الفنون,4000,0,0,0
جمعية كلنا بني خيار,مدن الفنون,1000,1,1,0
جمعية مهرجان مرسي الامراء بتاكلسة,مدن الفنون,1000,2,0,0
جمعية أحباء المكتبة والكتاب بمنزل تميم,مدن الآداب والكتاب ,4000,0,0,0
مهرجان المهاجر بالميدة,مدن الفنون,0,2,0,0
المهرجان الصيفي بزاوية الجديدي,مدن الفنون,0,2,0,0
انماء المعمورة,مدن الفنون,0,2,1,0
ليالي سليمان,مدن الفنون,0,2,1,0
منزل تميم الصيفي,مدن الفنون,3000,1,0,0
المهرجان الصيفي بالشريفات ,مدن الفنون,0,1,0,0
جمعية التنشيط و المهرجانات بني خيار,مدن الفنون,0,1,1,0
جمعية نرتقي بوشراي,مدن الفنون,500,2,0,0
مهرجان سيدي احمد بن بوبكر بام ذويل,مدن الفنون,2000,2,0,0
 جمعية التنشيط والمهرجانات بني خلاد,مدن الفنون,0,2,0,0
جمعية مهرجان البرج بقليبية,مدن الحضارات,0,3,0,0
معرض الصناعات التقليدية بياسمين الحمامات,مدن الفنون,0,1,0,0
ملتقى الغرف الفتية,مدن الفنون,0,1,0,0
الايام الثقافية بدار علوش,مدن الفنون,0,1,0,0
جمعية مهرجان نيابوليس لمسرح الطفل,مدن الفنون,10000,0,0,0
جمعيةمهرجان قربة الوطني لمسرح الهواة,مدن الفنون,5000,0,1,1
جععية مسرح الابتسامة بنابل,مدن الفنون,5000,0,0,0
جمعية التنشيط والمهرجانات بمنزل تميم,مدن الفنون,2000,0,0,0
جمعية رقش للثقافة و الفنو التصميم ,مدن الفنون,0,1,0,0
جمعية الصداقة التونسية الالمانية ,مدن الفنون ,0,1,0,0
جمعية ناس الفن ,مدن الفنون ,0,0,1,0
الجمعية الجهوية لرعاية المسنين ,مدن الفنون ,0,0,1,0
جمعية نيارة بني خلاد ,مدن الفنون ,,0,2,0
