Year;Tranches débloqués;Primes débloquées;Prime Matérielle;Prime Immaterielle;Prime  Diagnostic
1996;0; 247,879 ; -   ; -   ; 247,879 
1997;11; 2,547,189 ; 1,018,641 ; 219,537 ; 1,309,011 
1998;41; 9,326,738 ; 6,225,699 ; 1,187,691 ; 1,913,348 
1999;50; 8,830,883 ; 6,236,120 ; 481,099 ; 2,113,664 
2000;87; 15,743,671 ; 11,939,985 ; 1,542,727 ; 2,260,959 
2001;192; 20,302,360 ; 16,506,876 ; 1,758,566 ; 2,036,918 
2002;218; 28,685,886 ; 23,509,353 ; 3,364,401 ; 1,812,132 
2003;243; 36,887,215 ; 31,408,484 ; 3,589,940 ; 1,888,791 
2004;259; 41,629,441 ; 32,370,659 ; 7,012,649 ; 2,246,133 
2005;228; 32,322,643 ; 25,315,422 ; 4,821,274 ; 2,185,947 
2006;257; 30,577,416 ; 24,765,326 ; 4,538,050 ; 1,274,040 
2007;256; 33,469,033 ; 26,916,346 ; 5,083,120 ; 1,469,567 
2008;252; 29,874,720 ; 22,872,988 ; 4,934,769 ; 2,066,963 
2009;267; 41,624,380 ; 32,784,032 ; 6,837,968 ; 2,002,380 
2010;221; 45,742,119 ; 34,811,377 ; 8,320,479 ; 2,610,263 
2011;261; 45,591,813 ; 38,269,598 ; 4,780,732 ; 2,541,483 
2012;180; 33,360,051 ; 27,783,615 ; 3,486,502 ; 2,089,934 
2013;215; 42,401,395 ; 35,711,150 ; 4,253,288 ; 2,436,957 
2014;220; 43,000,834 ; 37,453,352 ; 3,216,415 ; 2,331,067 
2015;223; 40,789,293 ; 34,845,767 ; 3,835,086 ; 2,108,440 
2016;200; 39,030,495 ; 34,165,254 ; 2,851,740 ; 2,013,501 
2017;162; 33,080,638 ; 29,225,017 ; 2,461,591 ; 1,394,030 
2018;145; 36,595,072 ; 31,664,441 ; 3,225,991 ; 1,704,640 
2019;135; 42,856,280 ; 37,446,945 ; 4,330,460 ; 1,078,875 
