Ressoures_budget,Subvention de l Etat pour le paye,Subvention _de fonctionnement,Subvention d_intervention,Participations etablissements_publics,Revenues_ diverses,Excedents _budgets_ precedents,total _revenues
2021,,150000.000,30000.000,,5000.000,112550.448,297550.448
2022,1000.000,82000.000,76000.000,,5000.000,192803.311,356803.311
