stop-id;stop-name;stop-lat;stop-lon
145;Guebellat;36,5401001;9,662949562
146;Hajret Ennoss;35,97180176;8,565879822
147;Hammam Sayela;36,6637001;9,151780128
148;Hencha;35,12279892;10,74139977
149;Jalta;37,08390045;9,535099983
150;Jebal Ouest;36,55739975;10,05889988
151;Jebeniana;35,03179932;10,90849972
152;Jeddara;36,19689941;8,976389885
153;Jedeida;36,83610153;9,941470146
154;Jedelien;35,5931015;9,055720329
155;Jemna;33,57030106;9,013440132
156;Jorf;33,69789886;10,73550034
157;Kalaa Khasba;35,66550064;8,58757019
158;Khit El Oued;35,707901;9,632949829
159;Km 44;36,62419891;9,746100426
160;Km 74;35,04499817;10,05259991
161;Ksar Hellal;35,64160156;10,8920002
162;Ksour Essef;35,42290115;10,99750042
163;Laaroussa;36,38059998;9,455280304
164;Lagsab;36,19400024;9,307760239
165;Lakhouet;36,25759888;9,256560326
166;Les Chaines;36,73040009;8,679849625
167;Lorbos;36,10039902;8,936610222
168;Mahres;34,52330017;10,50139999
169;Maisonetta;36,59400177;9,519399643
170;Matmata;33,54489899;9,967670441
171;Mejel Bel Abbes;34,74990082;8,523039818
172;Menzel Erraiss;35,8207016;9,557020187
173;Menzel Mehiri;35,42589951;9,851779938
174;Mesaken;35,73320007;10,57489967
175;Metouia;33,96049881;9,997260094
176;Moknine;35,62749863;10,90019989
177;Monchar;36,70460129;9,331279755
178;Mornaguia;36,76350021;10,01000023
179;Nasr Allah;35,35309982;9,828000069
180;Nouvelle  Matmata;33,6678009;10,01399994
181;Oued El Ksab;36,05500031;9,737560272
182;Oued el Maleh;36,61270142;8,686710358
183;Oued Ellil;36,83300018;10,0376997
184;Oued Sarrat;35,81069946;8,565790176
185;Oued Tessa;36,29190063;8,998530388
186;Ouedhref;33,98270035;9,974829674
187;Ouled Haffouz;35,08200073;9,869689941
188;Ras Jedir;33,14820099;11,55770016
189;Remada;32,31549835;10,3987999
190;Sabaa Aouinet;37,03919983;9,779120445
191;Sbitla;35,22890091;9,127840042
192;Sebiba;35,54230118;9,074000359
193; ebikha;35,93330002;10,01780033
194;Sidi Amara;35,85649872;9,516659737
195;Sidi Ayed;36,354599;9,390199661
196;Sidi Bou Ali;35,95529938;10,47169971
197;Sidi Hamada;35,87630081;9,490260124
198;Sidi Metir;36,05039978;8,603899956
199;Sidi Neji;36,05550003;10,05809975
200;Sidi Othmen;36,95959854;9,924670219
201;Sidi-Ahmed Jedidi;36,66159821;9,514519691
202;Skhira;34,29869843;10,06910038
203;Sers;36,5821991;9,511520386
204;A.Ben Ahmed;33,7533989;9,298100471
205;Ain Zakkar;36,02700043;9,53938961
206;Ain Soltane;36,77619934;9,18321991
207;Alexandre ;35,94459915;9,67784977
208;Amaiem;36,33140182;9,844799995
209;Aouinet;33,98849869;10,00279999
210;B.Hamouda;35,6629982;9,618980408
211;Bannane;35,67660141;10,83320045
212;Ben Said;36,9715004;9,053910255
213;Bir Jedid;35,85599899;10,20100021
214;Bir Laouini;35,79679871;9,980369568
215;Bir Trente;32,69480133;10,33170033
216;Borj Brahim;36,38150024;9,227410316
217;Borj Torki;36,01290131;8,806920052
218;Bou Said;34,2159996;9,996430397
219;Boukhris;35,81570053;9,069259644
220;Bourebia;36,59889984;10,11900043
221;C.Saboune;36,06710052;8,753660202
222;Chaffar;34,56079865;10,56089973
223;Chastel;35,36230087;9,454810143
224;D.B.Jouder;36,27429962;10,01640034
225;Emb. Sidi.Maklouf;33,56370163;10,4744997
226;EL Ajabna;35,22060013;9,84967041
227;El Alia;35,75460052;9,586640358
228;El Goussa;35,44509888;9,120559692
229;El Guib;35,5102005;9,098999977
230;El Hammala;35,97299957;9,688500404
231;EL Khadra;35,48540115;9,952050209
232;EL May;33,80149841;10,88309956
233;El Mdou;33,80659866;10,06919956
234;Emb.Chaal;34,46689987;10,33230019
235;Emb.Dehmani;35,7621994;9,017720222
236;Emb.Jelma;35,33250046;9,400540352
237;Essabria;33,36780167;8,728139877
238;F.Loussif;35,51900101;9,725729942
239;Friouet;35,83660126;9,999919891
240;Garage Gabes;33,90000153;10,07460022
241;Gargour;34,62220001;10,63049984
242;Guedima;33,42979813;8,812279701
243;Hechichina;34,4211998;10,18410015
244;Hfaiedh;36,38040161;9,647459984
245;Jefna;37,04410172;9,44149971
246;Jelida;36,37139893;9,555399895
247;Jelida;36,37139893;9,555399895
248;Jerba(midoun);33,87210083;10,8579998
249;K.M.102;35,07249832;9,783579826
250;K.M.80;35,05799866;9,981249809
251;K.M.87;35,09069824;9,94342041
252;Kattana;33,75770187;10,20549965
253;Khanguet;36,95130157;9,095089912
254;Kharrouba;35,9776001;9,493840218
255;Kharroubet;36,17950058;8,93255043
256;Kriz;34,00880051;8,247039795
257;Limaguez;33,76679993;9,079230309
258;Maarouf;36,10760117;9,785300255
259;Mellouleche;35,16579819;11,03569984
260;Menzel;36,04140091;10,32670021
261;Mghila;35,29190063;9,28374958
262;Nadi;35,83980179;9,111530304
263;O.Jebbas;35,64749908;9,569459915
264;Oued Khedim ;36,24840164;8,911370277
265;Parc-Midoun;33,80979919;10,99330044
266;Rebiba;35,80220032;8,378190041
267;Reggueda;35,60089874;10,06169987
268;Rokob;37,05820084;9,490340233
269;S.Mansour;36,01950073;9,289819717
270;Salines;36,16949844;8,893969536
271;Sers;36,07580185;9,024600029
272;Sidi Ali;35,35309982;9,828000069
273;Sidi Amara;35,85860062;9,517339706
274;Sidi Ameur;35,92399979;9,473010063
275;Sidi Amor;35,85029984;8,479040146
276;Sidi Hamada;35,96110153;9,546629906
277;Sidi Heni;35,68090057;10,3093996
278;Sidi Said;36,16949844;9,65474987
279;Tedina;33,6556015;10,62090015
280;Tejerouine Gare;35,85269928;8,547010422
