Nom,Enfants_F,Enfants_G,Jeunes_F,Jeunes_G,Adultes_F,Adultes_G,Total
Bibliothèque public de TAZERKA ,206,102,9,4,0,0,321
Bibliothèque public de el HAOURIA  ,30,46,5,7,0,7,95
Bibliothèque public de BENI KHIAR,152,38,9,4,4,0,207
Bibliothèque public de AZMOUR ,72,32,2,1,2,0,109
Bibliothèque public de HAMAM ELGZAZ ,124,88,3,2,1,0,218
Bibliothèque public de BENI KHALED ,313,110,4,2,2,2,433
Bibliothèque public de OM THWIL,60,46,0,0,0,1,107
Bibliothèque public de DAR CHAABAN ELFEHRI ,499,232,10,4,3,0,748
Bibliothèque public de HAMMAMET ,478,192,19,8,12,4,713
Bibliothèque public de KELIBIA place de la jeunesse ,325,149,19,14,7,6,520
Bibliothèque public de MAAMOURA ,184,76,2,2,1,1,266
Bibliothèque public de MENZEL BOUZELFA ,289,137,0,5,2,3,436
Bibliothèque public de GROMBALIA ,1288,454,67,62,32,37,1940
Bibliothèque public de ZAWIT JDIDI ,178,98,3,1,0,1,271
Bibliothèque public de DAR ALOUCH ,155,79,4,1,1,0,240
Bibliothèque public de MENZEL HOR ,74,25,3,3,0,0,105
Bibliothèque public de KELIBIA CITE RIADH ,63,64,2,7,2,3,141
Bibliothèque public de BOUARGOUB ,80,50,8,6,1,0,145
Bibliothèque public de SOLIMAN ,278,171,14,11,0,1,475
Bibliothèque public de MENZEL TEMIM ,183,106,288,44,2,8,571
Bibliothèque public de MIDA ,181,116,5,7,0,1,310
Bibliothèque public de SOMAA ,176,94,7,7,2,3,289
Bibliothèque public de TAKELSSA ,62,42,4,0,2,1,111
Bibliothèque public de KORBA ,441,265,10,3,16,0,735
Bibliothèque public régional de NABEUL,976,469,50,35,17,12,1559
Bibliothèque ambulante  de NABEUL (01),55,53,10,3,2,2,124
Bibliothèque ambulante  de NABEUL (02),66,58,1,2,0,0,127
