القطاع;"القطــاع الفرعي";"رمز الاختصاص";"تسمية الإختصاص";رمز;الشهادة;"مدة التكوين بالسنة"
;"COIFFURE ET ESTHETIQUE
الحلاقة والتجميل";1303101;"Aide coiffeur";"معين حلاق";"ش م";
;;1303201;"Coiffeur maquilleur";"حلاق مجمل";"ش ك م";2
;;1304105;"Vendeur option pièces de rechanges automobiles";"بائع اختيار قطع غيار السيارات";"ش م";
;;301102;"Aide en peinture de bâtiment";"مساعد في دهن البناء";"ش م";
;;301206;Etancheur;"عون في أشغال العزل ضد تسرب المياه";"ش ك م";1
;;301209;"Plâtrier staffeur";"مركب ونحات الجبس";"ش ك م";1
;;301213;"Coffreur boiseur";"نجار قوالب";"ش ك م";1
;;301304;"Métreur vérificateur en bâtiment";"متار مراقب في البناء";"م ت م";2
;;301305;"Dessinateur projeteur en architecture";"رسام مصمم في البناءات";"م ت م";2
;;301309;"Chef de chantier en fabrication et pose de coffrages";"رئيس حضيرة في صناعة ووضع القوالب";"م ت م";2
;;301401;"Conducteur de travaux en bâtiment";"مســير أشغــال بنــاء";"م ت س";2
"BATIMENT, TRAVAUX PUBLICS ET ANNEXES
 البنـــاء والأشغال العمومية و تــــوابعــه";"BOIS ET AMEUBLEMENT
الخشـــــــب و الأثـــــــــاث";302101;"Menuisier en bâtiment";"نجار بناء";"ش م";
;;302105;"Fabricant de carcasses de salon";"صانع قوالب الصالونات";"ش م";
;;302205;"Finisseur de meubles";"صقّـال أثاث";"ش ك م";2
;;302401;"Technicien supérieur en étude et méthode d’ameublement";"تقني سام في دراسة وتصميم الأثاث";"م ت س";2
;;303302;"Technicien en froid commercial et climatisation";"تقني في التبريد التجاري وتكييف الهواء";"م ت م";2
;;303306;"Chef de chantier en climatisation";"رئيس حضيرة في تكييف الهواء";"م ت م";2
;;303307;"Technicien en installation de piscines";"تقني في تركيب المسابح";"م ت م";2
;;401202;"Agent en entretien de produits textiles";"عون في تنظيف المواد المنسوجة";"ش ك م";2
;;401304;"Technicien en entretien de produits textiles";"تقني في تنظيف المواد المنسوجة";"م ت م";2
;;402108;"Confectionneur de rideaux";"خياط ستائر";"ش م";
;;402302;"Technicien en modélisme et techniques vestimentaires";"تقني في تصميم وتقنيات الملابس";"م ت م";2
;;402403;"Technicien supérieur en méthodes des industries de l’habillement";"تقني سام في أساليب صناعة الملابس";"م ت س";2.5
;;403301;"Technicien en bonneterie circulaire et rectiligne";"تقني في الزرد الدائري  والمستقيم";"م ت م";2
;;501104;"Aide monteur et finisseur en chaussures";"مساعد مركب وصقال أحذية";"ش م";
;;501204;"Monteur finisseur en chaussures";"مركب وصقال أحذية";"ش ك م";1
;;501301;"Technicien en fabrication des industries du cuir et chaussures";"تقني في صناعة الجلد والأحذية";"م ت م";2
;"MAROQUINERIE    
السكـــــــــافة";502102;"Aide monteur et finisseur en maroquinerie";"مساعد مركب وصقال الجلود";"ش م";
;;601104;"Aide opérateur sur machines outils";"مساعد مشغل آلات الأدوات";"ش م";
;;601303;"Dessinateur industriel";"رسام صناعي";"م ت م";2
;;603103;"Soudeur à l'arc sous gaz (semi automatique MIG MAG)";"لحام بالقوس الكهربائي باستخدام المعدن والغاز";"ش م";
;"CONSTRUCTION METALLIQUE
التركـــــــيب المعـــــدني";604101;"Aide charpentier métallique";"مساعد في بناء هياكل معدنية";"ش م";
;;604201;Chaudronnier;"حداد مطالة سميكة";"ش ك م";1
;;604207;"Menuisier aluminium et PVC";"نجار أليمنيوم  و ب ف س";"ش ك م";2
;"PLASTURGIE 
  صنـــــــــاعة البلاستيـــــــــك";605101;"Opérateur sur machines de fabrication d’articles en plastique";"مشغل آلات صناعة لوازم بلاستيكية";"ش م";
;;605402;"Technicien supérieur en maintenance des équipements de l'industrie plastique";"تقني سام في صيانة تجهيزات صناعة البلاستيك";"م ت س";2.5
;;605403;"Technicien supérieur en industrie plastique";"تقني سام في صناعة البلاستيك";"م ت س";2.5
;"MECANIQUE DE PRECISION
الآلية الدقيقة";607201;Horloger;ساعاتي;"ش ك م";2
;;701103;"Opérateur sur machines de bobinage";"مشغل آلات تلفيف المحركات الكهربائية";"ش م";
;;701204;"Installateur de systèmes de sécurité en bâtiment";"مركب أنظمة السلامة بالبناءات";"ش ك م";1
;;701303;"Technicien en maintenance industrielle";"تقني في الصيانة الصناعية";"م ت م";2
;;701309;"Technicien en installation des équipements électriques et électroniques";"تقني في تركيب المعدات الكهربائية والإلكترونية";"م ت م";2
;;701313;"Chef d'équipe en installation électrique des bâtiments";"رئيس فريق في تركيب الشبكات الكهربائية للبناءات";"م ت م";2
;;701401;"Technicien supérieur en gestion de la maintenance industrielle";"تقني سام في التصرف في الصيانة الصناعية";"م ت س";2.5
;;701405;"Technicien supérieur en maintenance industrielle option maintenance des systèmes automatisés";"تقني سام في الصيانة الصناعية اختيار صيانة الأنظمة الآلية";"م ت س";
;;702303;"Technicien en électronique industrielle";"تقني في الإلكترونيك الصناعي";"م ت م";2
;;702304;"Technicien de maintenance en micro-systèmes informatiques";"تقني في صيانة أجهزة الميكروإعلامية";"م ت م";2
;;702308;"Technicien en maintenance des équipements biomédicaux";"تقني في صيانة المعدات البيوطبية";"م ت م";2
;;702402;"Technicien supérieur en maintenance des équipements biomédicaux";"تقني سام في صيانة المعدات البيوطبية";"م ت س";2.5
;;702404;"Technicien supérieur en techniques de production pour l'industrie électronique";"تقني سام في تقنيات الإنتاج للصناعة الإلكترونية";"م ت س";2
;;703401;"Technicien supérieur en télécommunications option informatique";"تقني سام في الاتصالات اختيار إعلامية";"م ت س";2
;;801401;"Technicien supérieur en contrôle qualité des industries agro-alimentaires";"تقني سام في مراقبة الجودة في الصناعات الغذائية";"م ت س";2.5
"TRANSPORT, CONDUITE ET MAINTENANCE DES VEHICULES ET DES ENGINS DE TRAVAUX PUBLICS ET AGRICOLES
النقل وسياقة وصيانة العربات ومعدات الأشغال العمومية والفلاحية";"CONDUITE DES ENGINS DE CHANTIER
سيــــاقـة معــدات الحضـائـر";902101;"Conducteur de chargeuses pelleteuses (Tractopelle)";"سائق آلة تحميل وحفر 
(آلة مزدوجة)";"ش م";
;;902107;"Conducteur de bouteurs";"سائق جرافة";"ش م";
;;903104;"Aide installateur de circuits d'alimentation à gaz  automobiles";"مساعد مركب تجهيزات الغاز بالسيارات";"ش م";
;;903109;"Aide électricien de matériel roulant";"مساعد كهربائي للعربات";"ش م";
;;903204;"Réparateur et installateur de motopompes";"عون صيانة المضخات الآلية";"ش ك م";1
;;903303;"Technicien carrossier peintre";"تقني في المطالة ودهن السيارات";"م ت م";2
;;904203;"Installateur -  maintenancier des pompes à béton";"مركب ومتعهد مضخات الخرسانة";"ش ك م";
;;904301;"Technicien de maintenance des engins de chantiers";"تقني في صيانة معدات الحضائر";"م ت م";2
;"TRANSPORT
   النقل";905201;"Conducteur routier";"سائق بري";"ش ك م";1
;;905302;"Technicien en transport routier";"تقني في النقل البري";"م ت م";2
;;1001402;"Technicien supérieur en tourisme option promotion et développement des produits touristiques";"تقني سام في السياحة اختيار تنمية وتطوير المنتوجات السياحية";"م ت س";
;;1002103;Serveur;نادل;"ش م";
;;1002201;"Agent de cuisine et pâtisserie";"عون مطبخ ومرطبات";"ش ك م";2
;;1002302;"Technicien de pâtisserie";"تقني مرطبات";"م ت م";2
;;1002402;"Technicien supérieur en hôtellerie option hébergement";"تقني سام في الفندقة اختيار الإيواء";"م ت س";
;;1101203;"Artisan en chaussures traditionnelles";"حرفي في صناعة الأحذية التقليدية";"ش ك م";
;;1102201;"Artisan en menuiserie traditionnelle";"حرفي في النجارة التقليدية";"ش ك م";2
;;1102202;"Artisan en fabrication de bibelots et articles artisanaux en bois";"حرفي في صناعة التحف والأواني التقليدية من الخشب";"ش ك م";
;"METIER DE TISSAGE ARTISANAL
 حرف النسيج التقليدي";1104101;"Tisserand de tapis";"نساج زربية";"ش م";
"METIERS D'ART ET DE L'ARTISANAT
 الحرف الفنية والتقليدية";"HABITS TRADITIONNELS ET BRODERIE
اللباس التقبليدي والتطريز";1105101;"Aide artisan de vêtements traditionnels pour hommes";"مساعد حرفي في اللباس التقليدي الرجالي";"ش م";
;;1105203;"Artisan en broderie artisanale";"حرفي في التطريز التقليدي";"ش ك م";2
;;1106201;Bijouterie;المصوغ;"ش ك م";2
;;1107102;"Aide ferronnier d'art";"مساعد حداد فني";"ش م";
;;1107204;"Artisan tourneur";"حرفي في الخراطة";"ش ك م";
;;1108106;"Aide artisan en fabrication des produits en pierre et marbre";"مساعد حرفي في صناعة منتوجات من الحجارة والرخام";"ش م";
;;1108204;"Artisan en sculpture et décoration sur plâtre";"حرفي في النقش والتزويق على الجبس";"ش ك م";
;"METIERS DE VERRERIE  
  حرف الزجاج";1109201;"Verrier à la main";"حرفي زجاج يدوي";"ش ك م";2
;;1109205;"Décorateur sur verre";"مزوق على الزجاج";"ش ك م";2
;;1110201;"Artisan en peinture et décoration sur différents supports";"حرفي في الطلاء والتزويق على محامل مختلفة";"ش ك م";1
;;1110202;"Artisan en fabrication de cages artisanales";"حرفي في صنع الأقفاص التقليدية";"ش ك م";
;;1110206;"Artisan en calligraphie";"حرفي في الخطاطة";"ش ك م";
;;1202401;"Technicien supérieur en comptabilité et  finances";"تقني سام في المحاسبة والمالية";"م ت س";2.5
;;1203406;"Technicien supérieur en marketing et multimédia";"تقني سام في التسويق والوسائل متعددة الوسائط";"م ت س";2.5
;;1301302;"Technicien en impression";"تقني في الطباعة";"م ت م";2
;;1301403;"Technicien supérieur en techniques de communication graphique option pré-presse";"تقني سام في تقنيات الاتصال اختيار تحضير أشغال الطباعة";"م ت س";
;;1302302;"Technicien préparateur en pharmacie";"تقني  محضر صيدلي";"م ت م";2
;;1303202;"Aide esthéticien";"معين في التجميل";"ش ك م";
;;1304107;"Aide magasinier";"مساعد حافظ مغازة";"ش م";
