Nom du projet ,Année d’inclusion dans le budget ,Estimations budgétaire ,Observation ,Intervenant
احداث دار الثقافة بسليمان ,2015,2568٫9,تم القبول الوقتي للاشغال بتاريخ 30ديسمبر 2021,الوزارة-المجلس الجهوي 
احداث دار الثقافة بوعرقوب ,2015,3001٫69,أشغال جارية بنسبة تقدم ب90%,الوزارة-المجلس الجهوي 
هدم و اعادة بناء دار الثقافة دار شعبان الفهري ,2017,3699,في طور الاعلان على طلب العروض للمرة الخامسة ,الوزارة-المجلس الجهوي 
تهيئة و صيانة المكتبة العمومية بوعرقوب ,2019,200,في مرحلة الدراسات ,الوزارة-المجلس الجهوي 
تهيئة وصيانة المكتبة العمومية حى الرياض و المكتبة العمومية ساحة الشباب قليبية ,2019,490,نم الاعلان على استشارة للرة الثالثة بعد تخلي المقاول عن الاشغال ,الوزارة-المجلس الجهوي 
تجديد الشبكة الكهربائية بالمكتبة الجهوية ,2019,51٫5,تم انجاز اختبار فني على الشبكة الكهربائية /في مرحلة الاعلان على طلب العروض لتعيين مقاول ,الوزارة-المجلس الجهوي 
توسعة و تهيئة و صيانة المكتبة العمومية بحمام الغزاز ,2021,400,في مرحلة الدراسات ,الوزارة-المجلس الجهوي 
توسعة و تهيئة و صيانة المكتبة العمومية بتاكلسة ,2021,400,في مرحلة الدراسات ,الوزارة-المجلس الجهوي 
انجاز اختبار فني على الشبكة الكهربائية بالمكتبة العمومية بمنزل حر ,2020,41٫5,في انجاز اختبار فني على الشبكة الكهربائية و مدنا بقائمة تقديرية في أشغال الصيانة ,الوزارة-المجلس الجهوي 
انجاز اختبار فني على بناية المركب الثقافي نيابوليس بنابل  ,2020,18٫622,في طور انجاز اختبار فني على البناية و جميع الشبكات ,الوزارة-المجلس الجهوي 
انجاز اختبار فني على بناية دار الثقافة قربة  ,2019,18٫622,في طور انجاز اختبار فني على البناية و جميع الشبكات ,الوزارة-المجلس الجهوي 
انجاز اختبار فني على تشققات دار الثقافة منزل تميم  ,2021,7٫153,في طور انجاز اختبار فني ,الوزارة-المجلس الجهوي 
تهيئة و صيانة دار الثقافة تاكلسة ,2021,200,في مرحلة الدراسات ,الوزارة-المجلس الجهوي 
انجاز نوافذ و أبواب حديدية بدار الثقافة قليبية ,2019,40,في طور الاعلان على استشارة لتعيين مقاول للمرة الثالثة ,الوزارة-المجلس الجهوي 
توسعة مقر المندوبية الجهوية بنابل ,2016,677,تم القبول الوقتي للأ شغال بتاريخ 29ديسمبر 2021,الوزارة-المجلس الجهوي 
