gov_name_f,gov_id,Etablissement,Nature,Programme,Cadre_d_activite,Nbr_de_manifestations,Nbr_activite,Sub_ministere_Directe,Sub_ministere_indirecte,Sub_commissariat_Directe,Sub_commissariat_indirecte,Sub__structures_directe,Sub__structures_indirecte,sub_autres_parties_publiques,sub_autres_parties_prives,Nbr_d_abonnes,Capacite_operationnelle_directe,Capacite_operationnelle_indirecte
Tataouine,53,عروض افلام قصيرة:افغانسطنبول20 دقيقة للمخرج اوزكان اوزرمير تركيا 2017 +نصف ساحة 15دقيقةللمخرج باناجوتيس فيكريس اليويان2018+60طلقة معلقة وفتحة 21دقيقة ليوسف الصنهاجي تونس2018+ هروب 5 دقائق للمخرج كارلوس سوليتو ايطاليا2018 مركز الفنون الدرامية والركحية بتطاوين,مراكز فنون درامية,موسم ثقافة الجنوب و الصحراء,المؤسسات الثقافية العمومية  ,1,4,0,0,0,0,0,0,0,0,150,0,0
Tataouine,53,عروض افلام قصيرة:كاشاش،اعلاه زعتري للمخرج برونوبيريتي15دقيقة فرنسا2017+جومير للمخرج ابراهيم فرج علي14دقيقة مصر2018+انجيل للمخرج مراد خلو 6 دقائق المغرب2017+سوق الاحد /طرابلس للمخرج يحيى مراد 16دقيقة لبنان2018  مركز الفنون الدرامية والركحية بتطاوين,مراكز فنون درامية,موسم ثقافة الجنوب و الصحراء,المؤسسات الثقافية العمومية  ,1,4,0,0,0,0,0,0,0,0,100,0,0
Tataouine,53,عروض افلام قصيرة تهتم بالبيئة بمناسبة المهرجان الدولي للسينما البئية ركز الفنون الدرامية والركحية بتطاوين,مراكز فنون درامية,موسم ثقافة الجنوب و الصحراء,المؤسسات الثقافية العمومية  ,1,4,0,0,0,0,0,0,0,0,250,0,0
Tataouine,53,تنشيط جماهيري :ماجورات،فرق فنون شعبية،معرض تجاري ،معرض للصناعات التقليدية،العاب شعبية (الخربقة،تنقيز الوزرة.....)  بفضاءات عامة في إطار مهرجان الالعاب الشعبية ببني مهيرة,دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,9,0,0,0,0,0,0,0,0,3250,0,0
Tataouine,53," ملتقى نوادي الإختصاص بدار الثقافة البئر الأحر  تنشيط إذاعي 
- ورشات فنية 
- أمسية تنشيطية من تأثيث نوادي الإختصاص :
                -عرض انتاجات النوادي  الثقافية بالجهة .
                -عرض نصوص أدبية للأطفال في إطار المسابقة المحلية لكتابة النص الأدبي .
               -الإعلان عن النوادي المحدثة بالمؤسسة .
              -تكريم المشاركين في المسابقة والإعلان عن النتائج .
",دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,6,0,0,0,0,0,0,0,0,204,0,0
Tataouine,53,جداريات بالفضاء الداحلي للمؤسسة  / عرض تنشيطي للأطفال عمي بشبوش دار الثقافة البئر الحمر ,دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,3,0,0,0,0,0,0,0,0,220,0,0
Tataouine,53,ورشات في المسرح / عرض مسرحية ار الثقافة البئر الحمر ,دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,0,0,30,0,0
Tataouine,53,الإستعراض /عروض للمؤسسات الطفولة المشارك /دورة تكوينية لمديري المؤسسات المشاركة /عرض تنشيطي للصغار  ار الثقافة البئر الحمر ,دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,3,0,0,0,0,0,0,0,0,20,0,0
Tataouine,53," ملتقى نوادي الإختصاص بدار الثقافة البئر الأحر  تنشيط إذاعي 
- ورشات فنية 
- أمسية تنشيطية من تأثيث نوادي الإختصاص :
                -عرض انتاجات النوادي  الثقافية بالجهة .
                -عرض نصوص أدبية للأطفال في إطار المسابقة المحلية لكتابة النص الأدبي .
               -الإعلان عن النوادي المحدثة بالمؤسسة .
              -تكريم المشاركين في المسابقة والإعلان عن النتائج .
",دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,15,0,0,0,0,0,0,0,0,204,0,0
Tataouine,53,افتتاح مهرجان الافلام التونسية للطفل:عرض تنشيطي للاطفال:عمي بشبوش + تسجيل المشاركين في الورشات المركب الثقافي  تطاوين ,دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,0,0,450,0,0
Tataouine,53,ورشة السيناريو السينمائي  تاطير الاستاذين :محمدالهادي نني و الاسعد صالح المركب الثقافي  تطاوين  في إطار مهرجان الافلام التونسية للطفل,دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,0,0,25,0,0
Tataouine,53," ورشة التصوير ""احلامنافي افكارنا""  تاطير الاستاذين :الاسعد صالح و محمد الهادي نني  المركب الثقافي ",دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,0,0,25,0,0
Tataouine,53,"ورشة المعالجة الفنية ""montage"" تاطير الاستاذين محمد الهادي نني+   عرض بعض انتاجات نوادي السينما بالمدارس الابتدائية بالجهة  : مدرسة ابو القاسم الشابي  فيلم قصير ""عيش""و فيلم "" اسطونة"" و فيلم"" يد اللوح ""ورشة التصوير ""احلامنافي افكارنا"" تحت تاطير الاستاذين الاسعد صالح و محمد الهادي نني  عرض انتاجات الورشات الفنية + الاختتام و توتزيع الشهائد  المركب الثقافي ",دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,3,0,0,0,0,0,0,0,0,250,0,0
Tataouine,53,"عرض لفيلم "" الدشرة"" للمخرج عبد الحميد بوشناق المركب الثقافي ",دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,0,0,450,0,0
Tataouine,53,"عروض  موسيقة جماعية وفردية للمدارس الاعدادية والمعاهد, المركب الثقافي ",دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,8,0,0,0,0,0,0,0,0,450,0,0
Tataouine,53,تنشيط المدينة :افتتاح التظاهرة ربيع ذهيبة,دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,5,0,0,0,0,0,0,0,0,0,0,0
Tataouine,53,"عرض تنشيطي للأطفال ""التاكسي الثقافي""  بدار الثقافة ذهيبة (تظاهرة ربيع ذهيبة)",دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,0,0,0,0,0
Tataouine,53,ورشة للأطفال تأطير نادي التصوير الفوتوغرافي بدار الثقافة ذهيبة (تظاهرة ربيع ذهيبة),دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,0,0,0,0,0
Tataouine,53,عرض موسيقي لنادي التعبير الجسماني بدار الثقافة ذهيبة (تظاهرة ربيع ذهيبة),دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,0,0,0,0,0
Tataouine,53,حصة ترغيب في المطالعة بدار الثقافة ذهيبة (تظاهرة ربيع ذهيبة),دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,0,0,0,0,0
Tataouine,53,ورشة تكوينية في الشكل تاطير نادي الفنون التشكيلية بدار الثقافة ذهيبة  (تظاهرة ربيع ذهيبة),دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,0,0,0,0,0
Tataouine,53,مسابقة في الرسم لنادي الفنون التشكيلية بدار الثقافة ذهيبة  (تظاهرة ربيع ذهيبة),دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,0,0,0,0,0
Tataouine,53,مسابقة في المسرح بين نوادي المسرح بدور الثقافة ونادي الطفولة بغمراسن (مهرجان الطفولة غمراسمن),دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,1000,0,80,0,0
Tataouine,53,"ورشة تكوينية حول ""مرض التوحد"" دار الثقافة  غمراسن (مهرجان الطفولة غمراسمن)",دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,0,0,15,0,0
Tataouine,53,عرض مسرحي للاطفال تحت عنوان بلاد العجائب لشركة مسرح المدينة بصفاقس دار الثقافة  غمراسن  (مهرجان الطفولة غمراسمن),دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,0,0,80,0,0
Tataouine,53,سهرة فنية من تقديم مجموعة ايوب العبار دار الثقافة  غمراسن ,دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,400,0,100,0,0
Tataouine,53,مسابقة وطنية في الرقص العصري دار الثقافة  غمراسن  (مهرجان الطفولة غمراسمن),دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,0,0,120,0,0
Tataouine,53,الدور النهائي في المسابقة الوطنية للمسرح  (مهرجان الطفولة غمراسمن),دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,0,0,120,0,0
Tataouine,53,منوعة تنشيطية للاطفال من تقديم التاكسي الثقافي دار الثقافة  غمراسن ,دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,0,0,120,0,0
Tataouine,53,عرض فيلم مغامرات  في إطار ايام الرياضات الجبلية بغمراسن  ,دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,0,0,80,0,0
Tataouine,53,ورشات في الخط العربي دار الثقافة الصمار  (تظاهرة ربيع الفنون التكشيلية),دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,0,0,15,0,0
Tataouine,53,ورشة جداريات بزخرفة خطية (تظاهرة ربيع الفنون التكشيلية),دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,0,0,20,0,0
Tataouine,53,ورشة النقش على الجبس دار الثقافة الصمار  (تظاهرة ربيع الفنون التكشيلية),دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,0,0,10,0,0
Tataouine,53,عرض مسرحي للكهول بعنوان ممنوع التصوير لشركة ميم جيم للانتاج  دار الثقافة الصمار  (تظاهرة ربيع الفنون التكشيلية),دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,1,0,0,0,0,0,0,0,0,30,0,0
Tataouine,53,مسابقة جهوية في المسرح بين المدارس الاعدادية و المعاهد الثالنوية بتطاوين دار الثقافة البئر الأحمر ,دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,بالشراكة مع مؤسسات عمومية غير تابعة للوزارة,1,1,0,0,0,0,0,0,0,0,0,0,0
Tataouine,53," ملتقي الشعر الشعبي والأغنية البدوية افتتاح المعارض 
-مسابقة الأكلة الشعبية 
-عرض مجموعة من الأفلام الوثائقية 
-سهرة الشعر الشعبي والأغنية البدوية دار الثقافة البئر الأحمر  
",دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,6,2600,0,0,0,0,0,0,400,0,0,0
Tataouine,53,"عرض مسرحي تحسيسي  حيو عمال النظافة  
-تكريم عمال النظافة .
-أمسية تنشيطية (عروض تنشيطية + فلكلور ) تاثيث روضة سوسو-حضانة المتفوق – حضانة سبل النجاح –روضة النسرين – حضانة جيل السلام – نوادي دار الثقافة البئر الأحمر 
",دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,نشاط مؤسساث ثقافية,1,4,0,0,0,0,0,0,0,0,1200,0,0
Tataouine,53,"مهرجان قرماسة للتراث تحت عنوان قرماسة""عين الماضي و عطر الحاضر الدورة الاولى  عرض مسرحي للاطفال:                                                    *مسرحية "" اريد ان العب""    لشركة مسرح قفصة انتاج 2018         * 11,00: تكريم رمز من رموز قرماسة "" العم حمزة""                           16,00: تجسيد العرس التقليدي                                                20,00: سهرة تراثية:                                                     *عروض فلكلورفية   *شعر شعبي                   22,30:  الاعلان عن نتائج  مسايقة  الصورة الفوتوغرافية                        الاختتام والاعلان عن النتائج                                                المركب الثقافي تطاوين ",دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,بالشراكة مع مؤسسات عمومية غير تابعة للوزارة,1,7,0,0,0,0,0,0,0,0,0,0,0
Tataouine,53,افتتاح التظاهرة  /منتدى تاريخ ذهيبة تنشيط المدينة بماجورات قابس دار الثقافة ذهيبة ,دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,بالشراكة مع مؤسسات عمومية غير تابعة للوزارة,1,5,0,0,0,0,0,0,850,0,0,0,0
Tataouine,53,عرض للزي التقليدي عبر حقب تاريخية دار الثقافة ذهيبة (منتدى تاريخ ذهيبة ),دور ثقافة ومركبات ثقافية,موسم ثقافة الجنوب و الصحراء,بالشراكة مع مؤسسات عمومية غير تابعة للوزارة,1,1,0,0,0,0,0,0,8000,0,0,0,0
