Nom-de-projet,Proprietaire-de-projet,Subvention
الخنمين نحو الأفضل,عبير بوغزو,7000
معرض شخصي أول,آمنة القهواجي,5000
معرض للفن التشكيلي الحديث photos réalisme,عجمي توتو فنان تشكيلي,3000
"معرض متنقل للفن التشكيلي ""سوسة بين الخيال و المخيال""",الزين الحرباوي فنان تشكيلي (سوسة),10000
إنجاز كتاب عن تجربة الفنان محمد الأمين ساسي,محمد الأمين ساسي فنان تشكيلي,20000
la ceramique comme voie d'evolution et d'unité pour la personne en diffuculté : main dans la main,لندة بن الحاج (بنزرت),18000
إنجاز جداريات فسيفسائية مع إقامة ورشة للأطفال و معرض فردي,منى النوري,10000
حب,هالة العموص,8000
جمالية البناءات القديمة و الحديثة من خلال الضوء,شكري الفاسي,1200
"معرض فقردي ""بيترو دينار""",وسام العابد,18000
فزاعات وحكايات,زينب الهلالي,15000
"تزويق قرية ""س و س "" أكودة",رباب الشعيبي,7000
الرسام لسان المدينة,شهلة سومر,5000
"معرض ""إرتحالات""",رياض بن الحاج,7000
"معرض شخصي  ""instalove",درصاف بن شعبان,4000
365,سناء بن براهيم الصنهاجي,7000
"ورشة للنسيج الفني المعاصر "" الثقافة للجميع""",فاطمة بلغيث معتوق,10000
"""حكايات صغيرة"" معرض فني متنقل مع ورشة و انتاج شريط صور متحركة",عبد الله أبو العباس,8000
الحوض المنجمي في قرن من الفوتوغرافيا,محمد علائمي,7500
Les Quarante est un regards dans l'Art et passion,محمد سامي بشير ,8000
المرأة  بين الحاضر و الغائب,فتحي بو زيدة,5000
إنجاز معرض الفنون التشكيلية و كتالوغ,محمد الرقيق,4000
تصميم و تنفيذ معلم فني ثقافي بولاية الكاف,عمار بلغيث,20000
خوضة على الطريق يوميا,منى الجمل سيالة ,15000
تونس حضارة 300 سنة (3D),سمير الفيتوري,7000
معرض فني و إصدار كتاب فني ,حبيب بيدة,20000
البارا - تجسيدية,كمال عبد الله,20000
ذاكرة الحياة,ماهر الطرابلسي,8000
جسر الصورة,عبد الغني سليمي,8000
المعرض المتنقل        ( الرسم المنبثق),خالد عبيدة,10000
"معرض شخصي متنقل ""تملّك""",محمد النعمان قمش,8000
"معرض يعنوان"" برّي""",صابر الصحراوي,5000
