Nom-de-projet,Proprietaire-de-projet,Subvention
معرض ورد و شوك,هدى غربال,22000
معرض المدينة فضاء معماري فضاء تشكيلي,هدى العجيلي,5000
GROS-PLANS,حورية عبد الكافي,15000
حلقات مترابطة من الفتلة للغرزة للعقدة,سنية القلال,20000
انجاز  100 لوحة فنية,طارق البوغديري,7000
"مشروع ""للعطور منظور""",عمر العيفة كريم,100000
"مشروع ""UNDER THE SAND""",سعاد ماني,40000
ورشة قلعة الحفر الفني,كريمة بن سعد,20000
"مشروع ""رحلة الفن التشكيلي""",عمر الدريدي,13000
صرخة جسد,امال حسين,10000
