Nom-de-projet,Proprietaire-de-projet,Subvention
معرض شخصي واصدار كتيب Transcendocracy,بدر الدين القليدي,7000
انجاز ورشة رسم,هبة بوسالمي,5000
معرض فوتوغرافي واصدار كتيب,صابر البحري,10000
"فضاء ""كهف الفنون "" بالدهماني (الكاف)",عمار بلغيث,15000
"لوحات جدارية بالساحات العامة""الرقاب تتنفس فنا""",سالم الكدوسي,12000
معرض فنون تشكيلية,المنصف بن جامع تونس,2700
مزار تشكيلي بدار الثقافة الشيخ ادريس,عبد الرحمان حدي,12000
جدارية خزفية بصفاقس,غازي زليلة,10000
معرض استيعادي,بوجمعة بلعيفة,10000
معرض استيعادي,علي الزنايدي,10000
معرض استيعادي,سامي بن عامر,10000
معرض استيعادي,حمدة دنيدن,10000
معرض متنقل بكامل الجمهورية,حمادي بن سعد,40000
"فضاء للتصوير الشمسي ""شميسة""",حاتم بالشيخ,20000
