Nom du groupe  artiste,Entrepreneur,Cout revise du spectacle,Subvention de transport,Cout de spectacle,Distribution
نورالدين الباجي وكريمة بن عمارة ,شركة نجوم بن عمار,5 500,400,5 900,Béja
صالح الفرزيط,وجدي البوزايدي,5 000,400,5 400,Béja
أولاد برتو,وجدي البوزايدي,2 500,400,2 900,Béja
فرقة سيدي بوسعيد للمالوف محمد علي بن الشيخ,,6 000,400,6 400,Béja
بهاء الدين الناصفي,,3 200,250,3 450,Béja
المنذر الطمار ,,4 000,400,4 400,Béja
وليد الصالحي,نصر القرواشي,5 000,250,5 250,Béja
نورالدين الباجي وكريمة بن عمارة ,شركة نجوم بن عمار,5 500,400,5 900,Béja
"توفيق بن منصور ""كورال البحيرة""",,1 500,,1 500,Ben Arous
عزالدين الفرجاني,,4 500,,4 500,Ben Arous
عماد عمارة,,5 000,,5 000,Ben Arous
منذر شعيبي,,2 500,,2 500,Ben Arous
منية البجاوي,,4 000,,4 000,Ben Arous
كمال زمان,,4 000,,4 000,Ben Arous
روضة بن عبد الله (قطايتي),,7 000,,7 000,Ben Arous
بشير البحوري,,7 500,650,8 150,Bizerte
نبيل المقدم,,1 800,500,2 300,Bizerte
محمد القيطوني,,4 000,250,4 250,Bizerte
مجموعة الوفاء للإنشاد الصوفي بقيادة نصرالدين العباسي,,2 000,400,2 400,Bizerte
مجموعة رنيم,ألفة بواب,5 000,400,5 400,Bizerte
سعيدة الهاني,,3 300,250,3 550,Bizerte
محمد المنصف حشاد,,2 000,700,2 700,Tataouine
فرقة الواحة للهادي نصر,,3 500,550,4 050,Tataouine
شكري بوزيان,,5 000,800,5 800,Tataouine
عمر ولد باب الله,شركة نجوم بن عمار,3 500,800,4 300,Tataouine
عبدالوهاب الحناشي+نوال غشام,شركة نجوم بن عمار,5 500,800,6 300,Tataouine
BMG,,2 500,350,2 850,Tataouine
محمود موسى,,3 000,500,3 500,Tozeur
"مجموعة قناديل للموسيقى العربية ""محرز عبيدي""",,1 500,160,1 660,Tozeur
عبدالرزاق معالج,,2 000,550,2 550,Tozeur
هشام سلام,شركة نجوم بن عمار,3 500,500,4 000,Tozeur
الشاذلي الحاجي,ألفة بواب,6 000,800,6 800,Tozeur
منيرة حمدي,,7 500,800,8 300,Tozeur
"عبد الجواد محيسن ""حضرة الصفاء""",,2 500,,2 500,Tunis
محمد بحر,,2 500,,2 500,Tunis
إبراهيم الحفيان,,1 800,160,1 960,Tunis
عرض عطور للفنانة نورة أمين,,5 500,,5 500,Tunis
غسان حمداني,,2 500,,2 500,Tunis
سلاف,,6 500,550,7 050,Tunis
سيف الدين معيوف ,,3 000,400,3 400,Jendouba
حسام الشارني,,2 500,120,2 620,Jendouba
مجموعة الفنان جلول الجلاصي,,3 000,300,3 300,Jendouba
عبد المنعم قاروري,,5 000,300,5 300,Jendouba
أسماء بن أحمد و سفيان الزايدي,ألفة بواب,7 000,250,7 250,Jendouba
بدرالدين الدريدي,,5 000,250,5 250,Jendouba
عبدالحميد عمار,,450,,450,Zaghouan
سفيان سفطة,,4 000,250,4 250,Zaghouan
زينة التونسية,,3 500,400,3 900,Zaghouan
محمد بالحاج علي: تجليات,,3 500,,3 500,Zaghouan
صابرين عباس,,3 000,250,3 250,Zaghouan
الفرقة الجهوية للفنون الشعبية بالقصرين ,,3 000,550,3 550,Zaghouan
شادي أشهب ونادية خالص,ألفة بواب,5 500,400,5 900,Zaghouan
"عزالدين الباجي ""يا مسافر""",,7 500,400,7 900,Zaghouan
عباس المقدم صفية مكي وجميلة حقي,,3 100,250,3 350,Zaghouan
مجموعة رياض يمن للحضرة,,1 800,550,2 350,Siliana
ألفة العبيدي,,4 000,400,4 400,Siliana
مروان الككلي IMPIRE,,5 000,250,5 250,Siliana
سمير الزغل,,2 250,400,2 650,Siliana
أيمن لسيق,ألفة بواب,7 000,400,7 400,Siliana
درة الفورتي,ألفة بواب,5 000,400,5 400,Siliana
محمد علي كمون,,7 000,250,7 250,Sousse
شريف علوي,,4 500,400,4 900,Sousse
غسان عزيز,,5 000,300,5 300,Sousse
محمد مهدي العكاري DJ COSTA,,5 000,400,5 400,Sousse
فرقة الشيخة للمالوف الخام بتستور,نصر القرواشي,3 500,550,4 050,Sousse
منير الطرودي + سندة العتري,,6 500,300,6 800,Sousse
مزيان وعضور,,2 200,120,2 320,Sousse
عبد الله شامخي,,2 500,250,2 750,Sousse
جابر المطيري,,2 500,400,2 900,Sidi Bou Zid
وليد السعداوي,,2 500,400,2 900,Sidi Bou Zid
فرقة مرشد بوليلة للنوبة والحضرة الصفاقسية,,5 000,500,5 500,Sidi Bou Zid
شكري عمر الحناشي +نوفل المهبولي,شركة نجوم بن عمار,5 500,700,6 200,Sidi Bou Zid
مجموعة رياض الصغير,,3 000,400,3 400,Sidi Bou Zid
عادل بندقة,,6 500,700,7 200,Sidi Bou Zid
البشير الأسود,,5 500,700,6 200,Sfax
بهاء الدين معيزة RDF,,3 500,160,3 660,Sfax
فرقة مسعود المطماطي,,4 500,300,4 800,Sfax
لمياء الرياحي,,4 500,300,4 800,Sfax
أنيس الخماسي +علياء بلعيد,شركة نجوم بن عمار,5 500,550,6 050,Sfax
حمزة بن عاشور (متسيما),,2 000,300,2 300,Sfax
فرقة ثلاثي الأحلام,,2 400,,2 400,Sfax
سامي المعالج,,1 900,700,2 600,Gabès
مصطفى الدلاجي,نصر القرواشي,4 500,400,4 900,Gabès
آمنة فاخر,ألفة بواب,7 000,700,7 700,Gabès
فوزي بن قمرة,ألفة بواب,6 000,700,6 700,Gabès
آرمستا,ألفة بواب,6 000,400,6 400,Gabès
المنجي بن عمار,,4 000,500,4 500,Kebili
زينة القصرينية ,,3 500,500,4 000,Kebili
منصف عبلة,,5 000,500,5 800,Kebili
معز بن الحاج,,4 500,500,5 000,Kebili
الطاهر القيزاني,,5 500,700,6 200,Kebili
مجموعة التوبة للحضرة بقيادة حمادي كمّون,,1 800,550,2 350,Kebili
محمد بن صالح,,4 000,500,4 500,Kebili
رفيق الزيتوني,,3 000,160,3 160,Gafsa
أحمد الماجري,,3 500,250,3 750,Gafsa
