Annee,Budget,Engagements,Projets-proposes,Projets-acceptes,Livres-reedites,Couts-livres-reedites,Livres-proposes-et-rejetes,Projets-premiere-fois,Projets-primiere-acceptes,Couts-projets,Nbre_des_editeurs_benificiaires _de_la _subvention 
2017,380000000,381340000,14,5,2,98550000,2,10,3,282790000,3
2018,380000000,341661000,5,3,*,*,*,5,3,341661000,3
2019,380000000,307088000,5,2,0,0,1,4,1,307088000,1
2020,*,480000000,*,*,*,*,*,*,*,*,*
