Nom_Agence,Gouvernorat,Adresse,Code_Postal,Fax,Tel,latitude,longitude
Agence Dar Chaabane El Fehri,Nabeul,Angle av Mongi Slim et rue Ali ben Salem. 8011,8011,72 32 06 88,31 37 22 12 - 70 24 22 12,36.458438888889,10.752297222222
Agence comptoir des particuliers,Tunis,3 rue de Hollande . 1000,1000,71 33 60 34,31 37 20 61 - 70 24 20 61,36.798566666667,10.179766666667
Agence cité Ezzouhour,Tunis,Rue 4001 cité Ezzouhour 2052,4001,71 59 93 40,31 37 23 02 - 70 24 23 02,36.793586944444,10.130332777778
Agence cité Ettadhamen,La Manouba,Rdc immeuble el hana - 23 avenue ibn khaldoun - cite ettadhamen 2041,2041,70 66 30 41,31 37 22 33 - 70 24 22 33,36.839736111111,10.115477777778
Agence cite El Khadra,Tunis,115 avenue Louis Braille cite El Khadra - Tunis 1003,1003,71 80 41 79,31 37 22 32 - 70 24 22 32,36.830144444444,10.193938888889
Agence cité Des Sciences,Tunis,Imm icc blv Mohamed Bouazizi Centre Urbain Nord. 1082,1082,70 72 85 51,31 37 21 31 - 70 24 21 31,36.850402777778,10.192119444444
Agence Chebba,Mahdia,"Avenue Habib Bourguiba, Chebba 5170",5170,73 63 47 78,31 37 22 86 - 70 24 22 86,35.237291666667,11.115536111111
Agence Charguia 2,Ariana,"24 rue de l'artisanat - zi Charguia 2, 2035",2035,71 94 13 61,31 37 20 19 - 70 24 20 19,36.853008333333,10.204825
Agence Charguia 1,Ariana,"54 rue de l'industrie zone industustrielle Charguia 1, 2035",2035,71 78 59 23,31 37 20 64 - 70 24 20 64,36.836122222222,10.202038888889
Agence Carnoy,Ariana,8 bis av de la liberté -Carnoy- Menzah 5. 2080,2080,71 23 77 90,31 37 21 13 - 70 24 21 13,36.850586111111,10.177522222222
Agence Bousalem,Jendouba,"268 avenue 20 Mars Bousalem, 8170",8170,78 63 56 58,31 37 22 71 - 70 24 22 71,36.609616666667,8.9734444444444
Agence Boumhel,Ben Arous,Residence Elahmadi av de l'environnement. 2097,2097,71 29 00 39,31 37 22 18 - 70 24 22 18,36.727927777778,10.306561111111
Agence Borj Louzir,Ariana,"Avenue Mustapha Mohsen Borj Louzir, 2073",2073,70 68 84 45,31 37 22 88 - 70 24 22 88,36.868608333333,10.209575
Agence Borj Cedria,Ben Arous,Rue de la mer Mediterranée Nozhet Soltane lot 358 Borj Cedria 2084,2084,79 32 67 70,31 37 22 94 - 70 24 22 94,36.703651111111,10.406122777778
Agence Bizerte Corniche,Bizerte,"Angle Av, de la liberté et route touristique de la Corniche Bizerte, 7000",7000,72 42 67 97,31 37 22 53 - 70 24 22 53,37.285977777778,9.8711666666667
Agence Bizerte,Bizerte,"36 rue Moncef Bey Bizerte, 7000",7000,72 43 38 62,31 37 20 50 - 70 24 20 50,37.269977777778,9.8702333333333
Agence Bir Mchergua,Zaghouan,"Centre commercial . Bir Mcherga, 1141",1141,72 67 94 00,31 37 20 02 - 70 24 20 02,36.514355555556,9.9580166666667
Agence Bir Ali Ben Khelifa,Sfax,Avenue 2 mars 1934 . 3040,1934,74 277 280,31 37 20 37 - 70 24 20 37,34.737969444444,10.092777777778
Agence Beni Khalled,Nabeul,Place 23 janvier 1952 av Habib Bourguiba 8021,1952,72 37 06 09,31 37 22 77 - 70 24 22 77,36.649608333333,10.591847222222
Agence Ben Arous,Ben Arous,"36 avenue Habib Bourguiba Ben Arous, 2013",2013,71 38 30 23,31 37 20 73 - 70 24 20 73,36.755436111111,10.22115
Agence Beja,Béja,"46 bis avenue Habib Bourguiba, Beja 9000",9000,78 45 64 25,31 37 20 54 - 70 24 20 54,36.723683333333,9.1857416666667
Agence Bardo 2,Tunis,"Angle av Habib Bougatfa et rue Ariha Bardo 2, 2000",2000,71 51 84 00,31 37 23 15 - 70 24 23 15,36.816644444444,10.1435
Agence Bab Souika,Tunis,56 place Bab Souika . 1006,1006,71 56 12 38,31 37 20 07 - 70 24 20 07,36.805002777778,10.168005555556
Agence Bab Bnet,Tunis,"Complexe Assoumoud n 91 boulevard 9 avril, Tunis, 1019",1019,71 57 68 26,31 37 22 39 - 70 24 22 39,36.803741666667,10.1628
Agence Hedi Chaker,Tunis,44 avenue Hedi Chaker . 1002,1002,71 78 15 83,31 37 20 74 - 70 24 20 74,36.812927777778,10.177194444444
Agence avenue Habib Bourguiba 4,Tunis,"3 rue de Hollande, 1000",1000,71 33 53 98,31 37 20 59 - 70 24 20 59,36.798566666667,10.179766666667
Agence avenue de Paris 2,Tunis,25 avenue de Paris . 1000,1000,71 33 74 20,31 37 20 17 - 70 24 20 17,36.801836111111,10.181202777778
Agence avenue de Paris 1,Tunis,"23 avenue de Paris, 1000",1000,71 33 14 58,31 37 20 62 - 70 24 20 62,36.801725,10.181202777778
Agence avenue de France,Tunis,12 avenue de France . 1000,1000,71 32 69 19,31 37 20 60 - 70 24 20 60,36.799169444444,10.177152777778
Agence avenue de Carthage,Tunis,"59 avenue de Carthage, 1000",1000,71 34 74 83,31 37 20 69 - 70 24 20 69,36.792841666667,10.182238888889
Agence Ariana nord,Ariana,"Ang route principale n°8 AV de l'environnement-124 Av Abou Kacem Chebbi, 2080",2080,71 70 87 44,31 37 21 18 - 70 24 21 18,36.873958333333,10.186236111111
Agence Ariana Forum,Ariana,"Av Taieb Mhiri centre commercial le Forum Ariana, 2080",2080,71 71 94 42,31 37 20 76 - 70 24 20 76,36.858363888889,10.192019444444
Agence Campus,Tunis,"Le campus rue Malaga El Manar 1, 2092",2092,71 87 41 28,31 37 21 02 - 70 24 21 02,36.835769444444,10.149908333333
Agence Akouda,Sousse,Avenue de la republique akouda 4022,4022,73 81 04 46,31 37 23 01 - 70 24 23 01,35.865996111111,10.570440833333
Agence Ain Zaghouan,Ariana,"Rdc immeuble Soukra médical rue Cheikh Mohamed Enneifer, 2073",2073,70 93 61 55,31 37 22 29 - 70 24 22 29,36.862961111111,10.276275
