NameAr,Delegations.Name,Delegations.NameAr,Delegations.Value,Delegations.PostalCode,Delegations.Latitude,Delegations.Longitude,DelegationID
أريانة,ARIANA VILLE (Residence Kortoba),أريانة المدينة (إقامة قرطبة),ARIANA VILLE,2058,36.866011,10.193923,ARIANA VILLE (Residence Kortoba)_2058
أريانة,ARIANA VILLE (Cite El Intissar 1),أريانة المدينة (حي الإنتصار 1),ARIANA VILLE,2091,36.871532,10.175512,ARIANA VILLE (Cite El Intissar 1)_2091
أريانة,SIDI THABET (Borj El Khoukha),سيدي ثابت (برج الخوخة),SIDI THABET,2032,36.933,10.039,SIDI THABET (Borj El Khoukha)_2032
أريانة,LA SOUKRA (Cite Ezzitoun 1),سكرة (حي الزيتون 1),LA SOUKRA,2036,36.885212,10.245301,LA SOUKRA (Cite Ezzitoun 1)_2036
أريانة,KALAAT LANDLOUS (Borj El Hadj),قلعة الأندلس (برج الحاج),KALAAT LANDLOUS,2061,37.054,10.152,KALAAT LANDLOUS (Borj El Hadj)_2061
أريانة,RAOUED (Cite De La Rtt 2),رواد (حي الإتصالات 2),RAOUED,2083,36.908,10.2,RAOUED (Cite De La Rtt 2)_2083
أريانة,SIDI THABET (Bejaoua 2),سيدي ثابت (بجا��ة 2),SIDI THABET,2020,36.9241,10.061,SIDI THABET (Bejaoua 2)_2020
أريانة,MNIHLA (Cite Ali Bourguiba),منيهلة (حي علي بورقيبة),MNIHLA,2094,36.8648,10.1021,MNIHLA (Cite Ali Bourguiba)_2094
أريانة,ARIANA VILLE (Ariana),أريانة المدينة (أريانة),ARIANA VILLE,2080,36.861327,10.19168,ARIANA VILLE (Ariana)_2080
أريانة,ARIANA VILLE (Centre Commercial Ikram),أريانة المدينة (المركب التجاري إكرام),ARIANA VILLE,2037,36.8653,10.1682,ARIANA VILLE (Centre Commercial Ikram)_2037
أريانة,RAOUED (Cite Chaker),رواد (حي شاكر),RAOUED,2081,36.941,10.145,RAOUED (Cite Chaker)_2081
أريانة,RAOUED (Complexe Technologique),رواد (القطب التكنولوجي),RAOUED,2088,36.897381,10.180699,RAOUED (Complexe Technologique)_2088
أريانة,ETTADHAMEN (Cite 18 Janvier),التضامن (حي 18 جانفي),ETTADHAMEN,2041,36.8387,10.102,ETTADHAMEN (Cite 18 Janvier)_2041
أريانة,LA SOUKRA (Borj Louzir),سكرة (برج الوزير),LA SOUKRA,2073,36.8717,10.2283,LA SOUKRA (Borj Louzir)_2073
أريانة,LA SOUKRA (Aeroport Tunis Carthage),سكرة (مطار تونس قرطاج),LA SOUKRA,2035,36.851032,10.227169,LA SOUKRA (Aeroport Tunis Carthage)_2035
أريانة,RAOUED (Cite 7 Novembre),رواد (حي 7 نوفمبر),RAOUED,2056,36.915,10.18,RAOUED (Cite 7 Novembre)_2056
أريانة,KALAAT LANDLOUS (Cite Bir El Araies),قلعة الأندلس (حي بئر العرايس),KALAAT LANDLOUS,2022,37.060278,10.115278,KALAAT LANDLOUS (Cite Bir El Araies)_2022
أريانة,SIDI THABET (Chorfech),سيدي ثابت (شرفش),SIDI THABET,2057,36.9448,10.0757,SIDI THABET (Chorfech)_2057
أريانة,ARIANA VILLE (Borj El Baccouche),أريانة المدينة (برج البكوش),ARIANA VILLE,2027,36.87,10.21,ARIANA VILLE (Borj El Baccouche)_2027
باجة,TESTOUR (Cite Beharnia),تستور (حي بحرنية),TESTOUR,9014,36.5525,9.4436,TESTOUR (Cite Beharnia)_9014
باجة,TEBOURSOUK (Borj Brahim),طبرسق (برج إبراهيم),TEBOURSOUK,9032,36.4575,9.2478,TEBOURSOUK (Borj Brahim)_9032
باجة,TESTOUR (Rhiba),تستور (الرهيبة),TESTOUR,9060,36.5525,9.4436,TESTOUR (Rhiba)_9060
باجة,BEJA NORD (Cite Pont Trageon),باجة الشمالية (حي جسر طراجيون),BEJA NORD,9000,36.7256,9.1817,BEJA NORD (Cite Pont Trageon)_9000
باجة,MEJEZ EL BAB (Sidi Mediene),مجاز الباب (سيدي مدين),MEJEZ EL BAB,9034,36.6492,9.6108,MEJEZ EL BAB (Sidi Mediene)_9034
باجة,TESTOUR (Esskhira),تستور (الصخيرة),TESTOUR,9061,36.5525,9.4436,TESTOUR (Esskhira)_9061
باجة,TEBOURSOUK (Ain El Hammam),طبرسق (عين الحمام),TEBOURSOUK,9040,36.4575,9.2478,TEBOURSOUK (Ain El Hammam)_9040
باجة,TESTOUR (Ain Tounga),تستور (عين تونقة),TESTOUR,9062,36.4667,9.4333,TESTOUR (Ain Tounga)_9062
باجة,MEJEZ EL BAB (Argoub Ezzaatar),مجاز الباب (عرقوب الزعتر),MEJEZ EL BAB,9070,36.6492,9.6108,MEJEZ EL BAB (Argoub Ezzaatar)_9070
باجة,NEFZA (Beni Said),نفزة (بني سعيد),NEFZA,9010,37.0658,8.9883,NEFZA (Beni Said)_9010
باجة,MEJEZ EL BAB (El Ksar),مجاز الباب (القصر),MEJEZ EL BAB,9015,36.6492,9.6108,MEJEZ EL BAB (El Ksar)_9015
باجة,BEJA SUD (Mastouta),باجة الجنوبية (مسطوتة),BEJA SUD,9021,36.6667,9.2333,BEJA SUD (Mastouta)_9021
باجة,THIBAR (Cite 2 Mars),تيبار (حي 2 مارس),THIBAR,9022,36.636,9.034,THIBAR (Cite 2 Mars)_9022
باجة,BEJA SUD (Cite El Amel),باجة الجنوبية (حي الأمل),BEJA SUD,9023,36.7256,9.1817,BEJA SUD (Cite El Amel)_9023
باجة,MEJEZ EL BAB (Cite 02 Mars),مجاز الباب (حي 2 مارس),MEJEZ EL BAB,9071,36.6492,9.6108,MEJEZ EL BAB (Cite 02 Mars)_9071
باجة,MEJEZ EL BAB (Toukabeur),مجاز الباب (توكابر),MEJEZ EL BAB,9024,36.6,9.5167,MEJEZ EL BAB (Toukabeur)_9024
