Nom,Etranger,Tunisiens,Tunisiens-sup-60-ans,Gratuit
المتحف  الوطني بباردو,94461,6402,704,17877
المواقع الأثرية بقرطاج,236802,5832,295,5316
المعالم الأثرية بالقيروان,49032,0,0,187
متحف وقصر الجم,186020,17201,602,51186
المتحف الأثري بسوسة,21030,2528,197,7738
متحف الحبيب بورقيبة-صقانس,1393,3688,186,2247
برج الحمامات ,10135,2886,68,1045
موقع أوذنة الأثري,5970,4080,149,12981
رباط سوسة,22258,1431,47,4023
رباط المنستير,20952,12036,198,7551
موقع ومتحف كركوان الأثري,8446,2691,152,11707
موقع ومتحف سبيطلة الأثري,6158,2934,9,3707
موقع تيبربوماجوس,2487,451,11,330
موقع ومتحف بيلاريجيا الأثري,3326,2893,119,10544
موقع ومتحف دقة الأثري,16336,13639,484,17921
موقع ومتحف مكثر الأثري,375,788,75,3185
موقع ومتحف أوتيك الأثري,1018,1554,84,4123
متحف العادات والتقاليد بجربة,1190,513,29,2147
متحف جرجيس,114,39,1,12
متحف نابل,1128,293,25,409
برج المهدية,3357,1516,35,4283
برج غازي مصطفى بجربة,11000,2720,43,2670
مغاور الهوارية,908,1379,0,2778
برج قليبية,4898,10686,0,4930
متحف المهدية,1039,660,53,4037
جامع فضلون بجربة,1010,53,11,58
متحف اللباس التقليدي بالمنستير,594,161,9,107
متحف قفصة الأثري,37,24,0,911
موقع بوبوت الحمامات,713,98,0,9
متحف  العادات والتقاليد بصفاقس,675,782,39,2514
متحف قصبة صفاقس,512,422,6,2417
موقع جكتيس الأثري,301,122,3,120
متحف سلقطة,111,56,8,275
متحف النفيضة,86,120,6,147
متحف العادات و التقاليد بالكاف,212,254,60,277
متحف لمطة,6,23,6,0
متحف رقادة,55,146,9,500
جامع سوسة ,3281,0,0,3
متحف دوز,408,309,8,646
موقع رمادية قفصة,0,2,0,0
موقع نيابوليس,279,100,10,377
